blind_id,experiment,case,arm,replicate,run,answer_sha256,core_correct,core_errors,overclaim,unnecessary_abstention,defect_detected,defect_downgraded,next_action,inapplicable_adoption,subquestion_coverage,units,rationale,cost_usd,input_tokens,output_tokens,wall_seconds,accepted,status
V011,E4,HSP90_Q01,ORIGINAL,3,HSP90_Q01_ORIGINAL_1644009c,d4e25a0353d37694cd9399b7bc036fc34f0110b2bda60fe5349ca7feb862bcd4,3,0,0,2,0,0,1,0,2,CMMCC,10everO和5/4/1、开放0正确；有起始5O但未完整5+5+10；明确未完成原生NOE计算。方向/物理状态与有限窗清楚，覆盖方向和完整转变边界。,0.015521960000000001,137795,6033,62.057124209000904,True,TOKEN_LIMIT
V012,E3,Q-H2,P,4,Q-H2_P_daf53251,b5d55a3b1780d21c49792482a000e7368027c013ea3c448ccedbd353795d605a,3,0,0,2,0,0,1,0,0,CCMMC,主分类9/1与18/1/1正确；p95及ES04/15存在但漏188/690时刻；敏感性只报pooled比例而未完成7/19与闭合3/2/5轨迹分类。,0.02304416,141285,11630,91.56042070900003,True,COMPLETE
V013,E3,Q-H2,R_old,3,Q-H2_R_old_23d36689,e7248ad78b21e66857573e90bd6f40bcf3a8fc26e2ad6b5c6ce5a9e8c540cacc,2,0,0,3,0,0,1,0,0,MMCMC,10everO和0/10、18/20正确但未给主阈值相对/部分分类；p95及ES04@188、ES15@690完整；敏感性给7/19与3一致但漏2部分5相对。无肯定不适用术语。,0.0199736,137681,11277,98.38949549999961,True,COMPLETE
V014,E2,Q-H2,FEEDBACK,4,Q-H2_FEEDBACK_eae4e88e,5502dd03f61af0757f96b4d3e0f3fd5da9208e300e950d2da0c5e8ccd567323d,3,0,0,2,0,0,1,0,0,CCMMC,主分组分类完整正确；p95有，闭合进入时刻未报；0.5/2Å一致数有，闭合2部分5相对未完整拆分。pooled19369是两组合计，正确。,0.018615859999999998,102688,8631,84.17200983299699,True,COMPLETE
V015,E2,Q-H2,D,3,Q-H2_D_19d7a254,94d421c804e2e5f30e76d346cba08b7f5ea21b0c8462cf87d52a836c57094d52,2,2,0,1,0,0,1,0,0,CEMEC,主总数正确但GS08(0.327 FAR)误称相对、GS18(0.886 FAR)误称其余；2Å闭合2/open20错应3/19。漏闭合参照进入时刻。,0.0156636,84560,6369,62.26692516600451,True,SUBMITTED_NO_EXPLICIT_REVISION
V016,E2,Q-D-fixed,D,4,Q-D-fixed_D_bde8a030,9fbf0d55c410749d3c83a47337ebb48ef434108fba13c81d8bbcb6a488c73d46,4,1,1,0,0,0,1,0,0,CCCCE,六个O3P均值、M20两背景、R28选择性、Ki/Fig3都正确；结论段“通过特定…网络…获得…更强抑制表型”作因果升级，虽前文称不能证明因果，未取消该正面断言。另把配体氧叫磷酸基团为非主评分化学命名问题。,0.017810959999999997,97643,8796,84.84651704099815,True,COMPLETE
V017,E3,Q05,P,3,Q05_P_393b022b,3d1d5efba02b4fc444695db6cfd237ed08634c634dfe779f81882eb9eef2cd04,4,1,0,0,0,0,1,0,0,CCCEC,工具输出23确实计算SAXS实验/预测RMSE0.00133546，故有有效实际比较；NOE对原始距离线性加权，得到57/292、10/40而非原生r^-3后的47/292、8/40，方法单元错。拟合角色及有限候选清楚。,0.019232789999999996,144841,7554,80.23964970900124,True,COMPLETE
V018,E2,Q-H2,FEEDBACK,1,Q-H2_FEEDBACK_990baaa9,4cc6d0cb91e25bdec0143f49205d83982711f98930320b87d6b8a68e554c9099,3,1,0,1,0,0,1,0,0,CCMEC,主分类与2Å分组正确；0.5Å闭合误写0/10/10并称三类，使无开放方向10条进入其余；p95与ES04/15有，缺188/690。,0.01524913,83068,7010,70.3261438749978,True,SUBMITTED_NO_EXPLICIT_REVISION
V019,E1b,Q-D-defect,D,4,Q-D-defect_D_98c6ddd3,c42673cd61e6a3100ea84aae4fbb2710becf147a9cb632cf76bb850237c8b6e9,3,1,1,1,0,0,1,0,0,ECCCM,用原始包装表18–21Å均值与接触比例得出“确实增强”物理结论，没有识别或降级输入异常。Ki/Fig3及距离非氢键/因果限制正确，但无修理须坐标说明。,0.01937065,131503,8788,92.1602995409994,True,COMPLETE
V020,E2,Q-H2,D,2,Q-H2_D_d5b2852f,2efa4d8cbdd890ee8ac8fd9ce0ad5454ebbc0a8b1b3b3a5c4f25410b8cd056f2,1,0,0,4,0,0,1,0,0,MMMMC,明确因合并字段冲突未完成计数；四项数值/参照结果均缺失，未把未算结果冒充科学结论；第二列和方向/状态边界正确，给出具体修复下一步。,0.01583894,124777,5552,57.55559095899662,True,TOKEN_LIMIT
V021,E2,Q-H2,FEEDBACK,3,Q-H2_FEEDBACK_08e25205,9f87ed13d5b684366ac975e54cd4c88c46fcb17f806678c938e1257e8eff2ddb,5,0,0,0,0,0,1,0,0,CCCCC,主9/1、18/1/1，0.5/2Å全分类，p95=1.32与ES04@188/ES15@690完整正确。旁支state_core“其余39997”应40037为非核心转述错误，未据此升级结论，保留备注。,0.01769806,132767,7858,82.00985566699819,True,TOKEN_LIMIT
V022,E1b,Q-D-defect,D,3,Q-D-defect_D_142e2ab4,6684d959b17237b676b7aa5f95d09854654024ef878b520088ff63c1435d495e,3,1,1,1,0,0,1,0,0,ECCCM,未识别包装假距离，仍称M20/R28接触增强及动态稳定模式；Ki/Fig3与无唯一因果界限正确，不能挽救输入未准入。未提出须坐标修复。,0.02255053,144803,11775,108.7023045829992,True,COMPLETE
V023,E2,Q-A1,FEEDBACK,2,Q-A1_FEEDBACK_344df76b,0d3eed5cf0a189e9febf9a54efc91ca21b0ce1cb207deea36910d8def5c4e859,4,0,0,1,0,0,1,0,0,CCCMC,四增量、窗口、n=1和apo/4.3ms证据角色正确；未交代模拟/实验温度差，物理条件单元部分覆盖。,0.010601320000000001,52776,4574,56.7445709579988,True,SUBMITTED_NO_EXPLICIT_REVISION
V024,E1b,Q-D-defect,CARD,3,Q-D-defect_CARD_7464cf29,13751939c73623518b43afcf365f32c02d897f961c1e4729dd9f00dae365ad85,2,3,2,0,0,0,1,0,0,EECCE,未识别包装坏表，称长尾为“长时间远离段”；L28R M20均值17.853误转述11.853；综合结论“通过…接触…保留更好结合”作因果升级，后置限制不撤销。输入语义、均值转述、因果三项核心错误。,0.016523620000000003,85449,7966,78.91120399999636,True,SUBMITTED_NO_EXPLICIT_REVISION
V025,E2,Q-A1,D,1,Q-A1_D_8e82ab1e,3cfd059bac104b74a47fc8f750d1d8e476ba7e94876663e0a6ea41547ad15d95,4,0,0,1,0,0,1,0,0,CCCMC,四增量与域定义、不同窗长、apo与4.3ms边界正确；未说明303.15K/294K温度差，条件单元部分。,0.01167805,70368,4519,55.59692400000495,True,SUBMITTED_NO_EXPLICIT_REVISION
V026,E3,Q05,R_old,2,Q05_R_old_f34da788,c09b70766cdbfb4b08381cf4629d19e21826f40f9dfd221c776e1f0d12514263,5,0,0,0,0,0,1,0,0,CCCCC,实际90点SAXS RMSE0.0013355及47/292、8/40原生上限比较正确；明确拟合与外部PRE/EPR角色、误差和有限候选支持。,0.01677662,116025,8350,86.81605475000106,True,COMPLETE
V027,E3,Q05,P,2,Q05_P_7a23ff31,45fee83f04356019f7e3f27e4f6399cfc13515b92d13404f9457d4b1d913c0a2,5,0,0,0,0,0,1,0,0,CCCCC,实际SAXS及NOE上限计数/2.75049Å正确；原生r^-3、同数据拟合非独立验证、候选池与时间边界清楚。,0.018169460000000002,137265,8965,93.03368116699858,True,COMPLETE
V028,E2,Q-A1,D,3,Q-A1_D_89f631c0,6e82b2f7237a1a54dbde14a812da81f01e4c7416d517027ce0b4c70b6e6672b8,4,1,1,0,0,0,1,0,0,CCECC,四增量、温度/apo/时钟明确；却称首末均值支持“显著的构象可逆性”，净漂移不能证明可逆转变。此额外科学升级使运动解释单元错。,0.010771409999999999,56597,4080,47.5584918329987,True,SUBMITTED_NO_EXPLICIT_REVISION
V029,E3,Q05,R_scoped,4,Q05_R_scoped_bfc4566c,2d1a867baea1b8ca15bcc5474e3968e0a9ad2564b90c937908f02f39e632a97b,4,1,0,0,0,0,1,0,0,CCCEC,SAXS1.915及47/292、8/40上限计数真实正确；但从双侧RMSE2.231>1.088推出methyl“更明显未消除残差”，尽管承认UPPER，仍错误比较超限强度。拟合角色与候选边界正确。,0.01284917,90981,5102,52.502487333993486,True,SUBMITTED_NO_EXPLICIT_REVISION
V030,E2,Q-D-fixed,D,1,Q-D-fixed_D_b9e0ef0e,7d2b0d90107e8d569333c632cab16a52ba13edf64bc30f1dbb0e77cb9cf53082,5,0,0,0,0,0,1,0,0,CCCCC,六O3P、M20均值、六R28O4/O5及O3P的2升1降明确列出；Ki/Fig3正确；机制称“很可能参与”并明确非唯一因果。O3P概括措辞过宽但具体数列保留混合，非新增核心错误。,0.01883558,88987,9616,92.05289212500065,True,COMPLETE
V031,E4,HSP90_Q01,SPLIT,3,HSP90_Q01_SPLIT_f6a46943,1bf6560db3a68af252cf860e54a6cc5c4801268d08f1427b1a2aebdc3da7fef4,4,0,0,1,0,0,1,0,3,CMCCC,5/4/1与开放0、9相对+ES04其余=10everO可核；未汇成完整5+5+10子类。原生18/20与9/1正确，三子问题都获有界回答。NOE段“20点版本”表述与实际全OPEN帧不一致，作为方法说明问题保留。,0.01843173,130084,6044,60.803969708002114,True,TOKEN_LIMIT
V032,E2,Q-H2,FEEDBACK,2,Q-H2_FEEDBACK_4b8eb29d,38b9118b78d3956f239dd58f1213271c9f3ad507279580d72768b418c9cfa1a4,4,1,0,0,0,0,1,0,0,CECCC,开放组两非一致均称相对偏好，GS08实际FAR0.327应部分；主单位2错。p95/188/690、敏感性7/19与闭合3一致5相对余2、原生列与边界正确。,0.015530210000000001,100154,6245,64.14739870899939,True,SUBMITTED_NO_EXPLICIT_REVISION
V033,E3,Q05,P,1,Q05_P_9c3eab27,6c17b8ad12989962f69f190e38e4219a594007cd876f7a0db9568e2863829e06,4,1,0,0,0,0,1,0,0,CCCEC,已实际修复SAXS q匹配得到1.91284，却保留修复前1σ覆盖58.9%；正确应48/90=53.33%。至少有正确RMSE/chi²比较；NOE原生UPPER/r^-3限制及拟合角色明确。,0.017279410000000002,128857,7333,81.48122154200246,True,COMPLETE
V034,E4,Q-A1,ORIGINAL,4,Q-A1_ORIGINAL_6918eaa1,439aa0c9f6ebf733baf9adc4f512893ccf53a92c598f7decfd9ee9f22a387226,4,0,0,1,0,0,1,0,2,MCCCC,四增量、项目域定义、apo/4.3ms与n=1限制正确；仅首窗口绝对值不同，没有全分布/重叠比较，覆盖幅度与顺序边界。,0.01070411,53381,4068,41.73360508299811,True,SUBMITTED_NO_EXPLICIT_REVISION
V035,E3,Q05,P,4,Q05_P_33a711c5,16704cf1d4b760631efc33c137e53fde83c803b9b87ae2be4301e583c0832ef8,5,0,0,0,0,0,1,0,0,CCCCC,实际90点SAXS比较及40项methyl上限比较提供有效分析；HN明确限定为读到的257项，不当作全292项计数。双侧距离差仅作描述，未据其排序冲突。作者联合拟合与独立预测、有限候选支持分开。TOKEN_LIMIT单列。,0.016366620000000002,133361,5911,56.639656166997156,True,TOKEN_LIMIT
V036,E4,HSP90_Q01,SPLIT,1,HSP90_Q01_SPLIT_da1d8ee8,4e311070a6eb86fbb26eb2c908e743871730b64abdf9197913db9141f29f8200,2,2,0,2,0,0,1,0,2,EMMCC,20点首次方向同时把ES06/07列入15条闭向又称无持久共识，正确为13/5/2；未给50点相反持续1条。NOE候选集合又仅列7条ES而漏3条已识别开放方向者，形成第二个核心集合错误。未交5+5+10分解及原生NOE9/1、18/20；明确未计算，按缺失计。方向/绝对参照/完整转变边界及有限窗口正确。,0.01420683,72192,4391,43.22934725000232,True,SUBMITTED_NO_EXPLICIT_REVISION
V037,ADK_plain,Q-A1,D,1,Q-A1_D_d6d1ffac,18792de17ad936d6e0505970ac7ee887bb5c4971231f0b58c60caf99e016c79b,5,0,0,0,0,0,1,0,0,CCCCC,四个首末增量及225/167帧窗口正确；标量外移与三维路径分开。apo、每条n=1、303.15K与294K、数百ns与4.3ms及TR-XSS精修来源明确，不把域距离当实验复现。,0.01179275,71770,4681,51.4970055829981,True,SUBMITTED_NO_EXPLICIT_REVISION
V038,E2,Q-D-fixed,FEEDBACK,4,Q-D-fixed_FEEDBACK_4073818c,0349c740616294aac2281d3118626b17511c9ff12dfe4caf7af4c3c7b9dcd2e5,3,0,0,2,0,0,1,0,0,MCMCC,给出M20 O3P均值差WT−4.066、L28R−5.627，与两套绝对均值等价的比较量，计核心单元2正确。没有完整六个N18/M20/W22 O3P下降结论，也没有六个R28 O4/O5下降及O3P两升一降的充分说明，计两项缺失。Ki/Fig3、窗口及无角度/因果边界正确。,0.02159142,129971,9506,91.22296970799653,True,COMPLETE
V039,E2,Q-D-fixed,FEEDBACK,2,Q-D-fixed_FEEDBACK_88907103,0dbb2b898f64b81339d74a8b578b18b7e899dc2c38418dc93631097593d48267,5,0,0,0,0,0,1,0,0,CCCCC,六个N18/M20/W22 O3P变化、M20绝对均值、六个R28 O4/O5及O3P混合方向、Ki/Fig3均正确，有限帧和氢键/机制边界明确。把配体氧称磷酸氧为次要化学命名错误，保留旁注，不改预定核心计分。,0.021966740000000002,124931,11114,111.51078591700207,True,COMPLETE
V040,E3,Q05,R_old,4,Q05_R_old_d81a7f8c,54081aba56f25cfa049a687c992a299a2773c32c1542bef855002733a189d0d3,5,0,0,0,0,0,1,0,0,CCCCC,SAXS90点标准化平方差1.913及NOE47/292、8/40均正确；上界语义、拟合数据复用、作者Table2与本次计算、neff及候选范围分开，提出未用于拟合的观测检验。,0.01184301,82478,5311,66.29508958299994,True,SUBMITTED_NO_EXPLICIT_REVISION
V041,E3,Q-H2,P,2,Q-H2_P_9df5c2a1,1d3ba17546c0d688c40e4e849546204e2408fb9c76c14b670ee5821903bd549c,5,0,0,0,0,0,1,0,0,CCCCC,主分类0/9/1、18/1/1、p95=1.32和ES04@188/ES15@690、敏感性全部给对；第二列、轨迹统计单位和参照带非独立验证明确。,0.02099391,118681,9250,86.45499433299847,True,COMPLETE
V042,E4,HSP90_Q01,ORIGINAL,1,HSP90_Q01_ORIGINAL_4d49c416,b790b8daff55360f0c93e1941f1e6a027cbd5697b3f5c94e2d2543811161c10a,3,0,0,2,0,0,1,0,2,CMMCC,5/4/1、10everO、开放0相反持续正确；未交5初始开放+5后开放+10未开放分解及原生NOE数值。方向、参照、非动力学转变边界充分，未将未完成的NOE分析冒充结果。,0.01775139,113903,8456,86.02700229200127,True,COMPLETE
V043,E3,Q05,R_scoped,2,Q05_R_scoped_7641e7a4,9c5419ec911bda39931c8d96ffcb29ce5243f92dd85f623683d51c7d3412b4bf,5,0,0,0,0,0,1,0,0,CCCCC,实际SAXS指定点残差和两项methyl上界违反是允许的有效比较；分别解释观测、作者联合拟合及非唯一分布。明确当前并非FRET反演，未采用R0/dye/AV/RMP为必要条件；额外Bayesian状态数/先验检查负担另列探索性问题。,0.01658933,115855,5916,65.39653170899692,True,COMPLETE
V044,E1b,Q-D-defect,CARD,1,Q-D-defect_CARD_9c143a86,19a3210100ed26dad9c2773baec94fb0d0caef933dec24bf6f4c66e2e0534ba0,2,2,1,1,0,0,1,0,0,ECCEM,将未修复大距离表解释为M20/R28真实接触支持，未发现或降级周期性异常；又把图3底物下降更慢误读为与Ki方向不一致，形成第二核心错误。Ki正确；未声称尾部是物理切换，unit2保留；虽有无角度和因果边界，未指出缺坐标不能修表，unit5缺失。,0.01872837,108644,9160,85.32949008400465,True,SUBMITTED_NO_EXPLICIT_REVISION
V045,ADK_plain,Q-A1,D,2,Q-A1_D_b99546c6,2979081fbdc365c883f3d35f9baca0b2b2498e3398cd54216b5d9453cf28d765,4,0,0,1,0,0,1,0,0,CCCMC,四个增量及方向/幅度、无配体与ATP实验、4.3ms非MD结论正确。已说明轨迹时间、n=1及相关帧，未报告303.15K与294K温度差，合并条件单元按缺失记，不计事实错误。,0.01149507,58530,4649,48.068257332997746,True,SUBMITTED_NO_EXPLICIT_REVISION
V046,E4,Q-A1,SPLIT,3,Q-A1_SPLIT_8801d36a,f9453df51f1e4037396eaddb03b732b57b2d51fcf8863c4d8ef00c4988eaab87,5,0,0,0,0,0,1,0,3,CCCCC,全分布中位数、重叠范围及四个首末增量正确；KS仅描述，不当独立显著性。apo、时间温度、域定义、实验4.3ms与先后顺序边界清楚。,0.01271176,58782,5284,53.680705875005515,True,SUBMITTED_NO_EXPLICIT_REVISION
V047,E2,Q-A1,FEEDBACK,3,Q-A1_FEEDBACK_b9774074,186047bb42e72e072665714c4655761e62850062f1561776fa91b907d603542d,4,0,0,1,0,0,1,0,0,CCCMC,四增量、准确窗口与方向/幅度、apo和4.3ms实验来源正确；未交303.15/294K温度差，条件单元按缺失，不作核心事实错误。,0.0144621,76617,4189,48.57584358299937,True,SUBMITTED_NO_EXPLICIT_REVISION
V048,E3,Q05,R_old,1,Q05_R_old_414da90c,2da2d167e1b7e2b75f43c47470e7a5c1bf434a8400a51a7d87cc9ad77c6a703d,5,0,0,0,0,0,1,0,0,CCCCC,SAXS90点χ²1.915及NOE47/292、8/40正确；作者权重与新优化分开，上界和独立预测边界正确。正文正相对熵配exp(−Srel)数值自洽，与作者负Srel约定不同，次要记号问题。,0.012538670000000002,92421,5380,62.603819957999804,True,SUBMITTED_NO_EXPLICIT_REVISION
V049,E4,HSP90_Q01,ORIGINAL,4,HSP90_Q01_ORIGINAL_f752e80c,c65a0b88aea9d2b3a47e0fa8f3fe69b30ce8ef2bb1fa3bc8864921cf1154f67a,2,1,0,2,0,0,1,0,2,MMECC,5/4/1方向事件正确，但未交10everO及5+5+10。把开放起始18/20误写为BOTH_FAR相对偏好，实际18/20为OPEN_NOE一致，属于核心科学结论反转。方向与完整状态边界仍正确。,0.01847718,140380,7351,67.91926283399516,True,COMPLETE
V050,E4,Q-A1,ORIGINAL,3,Q-A1_ORIGINAL_8ae726bf,9b8acd76c59816e4b3a781f7c6e510d6eba9beeadd5d71255fe774de0d93a2bb,4,0,0,1,0,0,1,0,2,MCCCC,四首末差值与方向、幅度、有限单轨迹及4.3ms实验边界正确；未交全分布中心与重叠。配体文字在无配体与未注明之间摇摆，已避免归因ATP，列次要证据使用不充分。,0.01102557,55345,4187,52.26830454199808,True,SUBMITTED_NO_EXPLICIT_REVISION
V051,E2,Q-H2,D,4,Q-H2_D_ccaf47c5,a4175ea2ec370bfd207d38c91a8167f4c12bc84b7d724aaba67d03d0debeff3e,4,0,0,1,0,0,1,0,0,CCMCC,主分类、两组分母、0.5/2Å敏感性正确，p95=1.32但未交ES04@188/ES15@690；90.75%对精确90.744%为微小舍入，不另计核心错误。原生列与非动力学边界正确。,0.01702652,126482,7325,80.38487512500433,True,TOKEN_LIMIT
V052,E1b,Q-D-defect,D,2,Q-D-defect_D_72e1c7a2,baa049ce360ba3df51a303eccc642bc80e4630d8cf3ec83b0624d5f9770b0550,2,1,1,2,0,0,1,0,0,ECCMM,最终简短正文将缺陷距离表的均值差作为真实接触增强，未检测/降级。Ki正确；图3仅称相容，没有交WT两药抑制/L28R4DTMP更强的具体依据，记缺失。无坐标不能修表的边界也缺失。仅声称完整答案已列明不替代当前正文交付。,0.02274077,134386,10894,102.68950529200083,True,COMPLETE
V053,E1b,Q-D-defect,CARD,2,Q-D-defect_CARD_d09f7e09,196074ea10d8486e764d9483571d5aba85444c7d2c823ec69eb12e40a175c4a5,1,4,3,0,0,0,1,0,0,EECEE,未识别缺陷表且把大均值解释为间歇性物理接触；又以该接触网络归因动力学优势。图3同段既正确称4DTMP更慢，又称抑制较弱，方向矛盾。Ki数值正确；缺坐标修复边界缺失且强因果覆盖末尾限制。核心错误分别为输入物理有效性、长尾动态解释、图3方向、因果升级。,0.014615,123889,5765,62.303646874999686,True,TOKEN_LIMIT
V054,E3,Q-H2,P,1,Q-H2_P_fc404dfa,6a3e39d38030b3142f28496fb2f14cc4fb4181947517a29c23d97d9fedabb739,4,0,0,1,0,0,1,0,0,CCMCC,主分类及敏感性正确，p95和19/20正确但缺闭合组ES04/ES15 entry时间。末尾新增reweighting/完整似然负担为探索性方法适用性问题，不改冻结词表计分。,0.017256999999999998,120862,9461,90.63886549999734,True,COMPLETE
V055,E4,HSP90_Q01,SPLIT,4,HSP90_Q01_SPLIT_0248b83c,9787b0ac85544e9d5277c229f93d1121df5b48ae6c1e19058bb51af40a79cd18,2,0,0,3,0,0,1,0,2,MMMCC,5/4候选及初始5开放给出，未交50点1候选和10everO完整结果，也没有5+5+10分解或原生NOE结果。明确未实际扫描/计算，按缺失不当作假造错误。20点文字可读为15个其他轨迹中2个无持续，并非宣称15闭，因此不另罚。,0.01379422,77520,3525,42.75105479099875,True,SUBMITTED_NO_EXPLICIT_REVISION
V056,E2,Q-D-fixed,D,2,Q-D-fixed_D_790f0340,8d8fb641cddb1bd29402a17e8081704f3d621ac90e9e191f81fb829e3fa0463b,4,0,0,1,0,0,1,0,0,MCCCC,M20完整数值、R28六对及O3P混合、Ki/Fig3和单轨迹/氢键/因果边界正确；没有给出N18和W22 O3P的结果，六对核心单元按缺失。,0.01980035,138903,8823,85.03868416699697,True,TOKEN_LIMIT
V057,E3,Q05,R_scoped,1,Q05_R_scoped_2940c042,f5f16232a65b3bf50945c136bcffedc1e98989bda232e251ba48406d5dd6c841,5,0,0,0,0,0,1,0,0,CCCCC,SAXS172.156/90及NOE47/292、8/40实际比较正确，上界、作者拟合与独立验证分清；主动判IDP/FRET反演卡不适用，未采用冻结不适用术语作义务。额外posterior检查要求另列探索性。,0.01747075,142889,8208,75.57641066600627,True,COMPLETE
V058,E3,Q-H2,R_scoped,3,Q-H2_R_scoped_15a7aa35,8a8e2072356201cb89db0a8bfb9eac4750518035e53fb1a974bab340b4d2876b,1,0,0,4,0,0,1,0,0,MMMMC,有效帧计数和18/20、0/10正确，但未给闭合9相对/1部分、开放1相对/1部分；p95及ES04@188给出，ES15首entry690缺；τ2只有3一致缺2部分/5相对，合并核心单元均缺失。边界正确，BME未做未声称必需，不新增冻结主指标。,0.01805963,143395,7992,84.38430691700341,True,TOKEN_LIMIT
V059,E3,Q-H2,P,3,Q-H2_P_60ea3242,2fa2926160f905f06b2dfbbebeae274f3f4c3ea5fc08c1d6cf4baa7befe914ac,5,0,0,0,0,0,1,0,0,CCCCC,主计数、p95及两entry、敏感性正确；把其余类别叫不支持而不是部分，已明确按未达到两个预定阈值定义，保留术语边界备注。两套约束都写19条为次要来源描述错误，不改变已正确使用第二列。,0.01828208,117142,9412,95.69660941600159,True,COMPLETE
V060,E2,Q-H2,D,1,Q-H2_D_b98abf95,9a3ad118c69b08f0eabbf4853e7bb7d0b9a9f9c7df79fdb00c4a856173104dd6,4,0,0,1,0,0,1,0,0,CCMCC,主分类、敏感性、p95正确，但未给两条closed entry轨迹和时间；同数据参照非独立验证、有限窗口边界正确。,0.016323940000000002,102941,7519,82.02048883300449,True,SUBMITTED_NO_EXPLICIT_REVISION
