blind_id,core_correct,core_errors,overclaim,unnecessary_abstention,defect_detected,defect_downgraded,next_action,inapplicable_adoption,subquestion_coverage,units,rationale
V013,2,0,0,3,0,0,1,0,0,MMCMC,10everO和0/10、18/20正确但未给主阈值相对/部分分类；p95及ES04@188、ES15@690完整；敏感性给7/19与3一致但漏2部分5相对。无肯定不适用术语。
V014,3,0,0,2,0,0,1,0,0,CCMMC,主分组分类完整正确；p95有，闭合进入时刻未报；0.5/2Å一致数有，闭合2部分5相对未完整拆分。pooled19369是两组合计，正确。
V015,2,2,0,1,0,0,1,0,0,CEMEC,主总数正确但GS08(0.327 FAR)误称相对、GS18(0.886 FAR)误称其余；2Å闭合2/open20错应3/19。漏闭合参照进入时刻。
V016,4,1,1,0,0,0,1,0,0,CCCCE,六个O3P均值、M20两背景、R28选择性、Ki/Fig3都正确；结论段“通过特定…网络…获得…更强抑制表型”作因果升级，虽前文称不能证明因果，未取消该正面断言。另把配体氧叫磷酸基团为非主评分化学命名问题。
V017,4,1,0,0,0,0,1,0,0,CCCEC,工具输出23确实计算SAXS实验/预测RMSE0.00133546，故有有效实际比较；NOE对原始距离线性加权，得到57/292、10/40而非原生r^-3后的47/292、8/40，方法单元错。拟合角色及有限候选清楚。
V018,3,1,0,1,0,0,1,0,0,CCMEC,主分类与2Å分组正确；0.5Å闭合误写0/10/10并称三类，使无开放方向10条进入其余；p95与ES04/15有，缺188/690。
V019,3,1,1,1,0,0,1,0,0,ECCCM,用原始包装表18–21Å均值与接触比例得出“确实增强”物理结论，没有识别或降级输入异常。Ki/Fig3及距离非氢键/因果限制正确，但无修理须坐标说明。
V020,1,0,0,4,0,0,1,0,0,MMMMC,明确因合并字段冲突未完成计数；四项数值/参照结果均缺失，未把未算结果冒充科学结论；第二列和方向/状态边界正确，给出具体修复下一步。
V021,5,0,0,0,0,0,1,0,0,CCCCC,主9/1、18/1/1，0.5/2Å全分类，p95=1.32与ES04@188/ES15@690完整正确。旁支state_core“其余39997”应40037为非核心转述错误，未据此升级结论，保留备注。
V022,3,1,1,1,0,0,1,0,0,ECCCM,未识别包装假距离，仍称M20/R28接触增强及动态稳定模式；Ki/Fig3与无唯一因果界限正确，不能挽救输入未准入。未提出须坐标修复。
V023,4,0,0,1,0,0,1,0,0,CCCMC,四增量、窗口、n=1和apo/4.3ms证据角色正确；未交代模拟/实验温度差，物理条件单元部分覆盖。
V024,2,3,2,0,0,0,1,0,0,EECCE,未识别包装坏表，称长尾为“长时间远离段”；L28R M20均值17.853误转述11.853；综合结论“通过…接触…保留更好结合”作因果升级，后置限制不撤销。输入语义、均值转述、因果三项核心错误。
V025,4,0,0,1,0,0,1,0,0,CCCMC,四增量与域定义、不同窗长、apo与4.3ms边界正确；未说明303.15K/294K温度差，条件单元部分。
V026,5,0,0,0,0,0,1,0,0,CCCCC,实际90点SAXS RMSE0.0013355及47/292、8/40原生上限比较正确；明确拟合与外部PRE/EPR角色、误差和有限候选支持。
V027,5,0,0,0,0,0,1,0,0,CCCCC,实际SAXS及NOE上限计数/2.75049Å正确；原生r^-3、同数据拟合非独立验证、候选池与时间边界清楚。
V028,4,1,1,0,0,0,1,0,0,CCECC,四增量、温度/apo/时钟明确；却称首末均值支持“显著的构象可逆性”，净漂移不能证明可逆转变。此额外科学升级使运动解释单元错。
V029,4,1,0,0,0,0,1,0,0,CCCEC,SAXS1.915及47/292、8/40上限计数真实正确；但从双侧RMSE2.231>1.088推出methyl“更明显未消除残差”，尽管承认UPPER，仍错误比较超限强度。拟合角色与候选边界正确。
V030,5,0,0,0,0,0,1,0,0,CCCCC,六O3P、M20均值、六R28O4/O5及O3P的2升1降明确列出；Ki/Fig3正确；机制称“很可能参与”并明确非唯一因果。O3P概括措辞过宽但具体数列保留混合，非新增核心错误。
V031,4,0,0,1,0,0,1,0,3,CMCCC,5/4/1与开放0、9相对+ES04其余=10everO可核；未汇成完整5+5+10子类。原生18/20与9/1正确，三子问题都获有界回答。NOE段“20点版本”表述与实际全OPEN帧不一致，作为方法说明问题保留。
V032,4,1,0,0,0,0,1,0,0,CECCC,开放组两非一致均称相对偏好，GS08实际FAR0.327应部分；主单位2错。p95/188/690、敏感性7/19与闭合3一致5相对余2、原生列与边界正确。
V033,4,1,0,0,0,0,1,0,0,CCCEC,已实际修复SAXS q匹配得到1.91284，却保留修复前1σ覆盖58.9%；正确应48/90=53.33%。至少有正确RMSE/chi²比较；NOE原生UPPER/r^-3限制及拟合角色明确。
V034,4,0,0,1,0,0,1,0,2,MCCCC,四增量、项目域定义、apo/4.3ms与n=1限制正确；仅首窗口绝对值不同，没有全分布/重叠比较，覆盖幅度与顺序边界。
V035,5,0,0,0,0,0,1,0,0,CCCCC,实际90点SAXS比较及40项methyl上限比较提供有效分析；HN明确限定为读到的257项，不当作全292项计数。双侧距离差仅作描述，未据其排序冲突。作者联合拟合与独立预测、有限候选支持分开。TOKEN_LIMIT单列。
V036,2,2,0,2,0,0,1,0,2,EMMCC,20点首次方向同时把ES06/07列入15条闭向又称无持久共识，正确为13/5/2；未给50点相反持续1条。NOE候选集合又仅列7条ES而漏3条已识别开放方向者，形成第二个核心集合错误。未交5+5+10分解及原生NOE9/1、18/20；明确未计算，按缺失计。方向/绝对参照/完整转变边界及有限窗口正确。
V037,5,0,0,0,0,0,1,0,0,CCCCC,四个首末增量及225/167帧窗口正确；标量外移与三维路径分开。apo、每条n=1、303.15K与294K、数百ns与4.3ms及TR-XSS精修来源明确，不把域距离当实验复现。
V038,3,0,0,2,0,0,1,0,0,MCMCC,给出M20 O3P均值差WT−4.066、L28R−5.627，与两套绝对均值等价的比较量，计核心单元2正确。没有完整六个N18/M20/W22 O3P下降结论，也没有六个R28 O4/O5下降及O3P两升一降的充分说明，计两项缺失。Ki/Fig3、窗口及无角度/因果边界正确。
V039,5,0,0,0,0,0,1,0,0,CCCCC,六个N18/M20/W22 O3P变化、M20绝对均值、六个R28 O4/O5及O3P混合方向、Ki/Fig3均正确，有限帧和氢键/机制边界明确。把配体氧称磷酸氧为次要化学命名错误，保留旁注，不改预定核心计分。
V040,5,0,0,0,0,0,1,0,0,CCCCC,SAXS90点标准化平方差1.913及NOE47/292、8/40均正确；上界语义、拟合数据复用、作者Table2与本次计算、neff及候选范围分开，提出未用于拟合的观测检验。
V041,5,0,0,0,0,0,1,0,0,CCCCC,主分类0/9/1、18/1/1、p95=1.32和ES04@188/ES15@690、敏感性全部给对；第二列、轨迹统计单位和参照带非独立验证明确。
V042,3,0,0,2,0,0,1,0,2,CMMCC,5/4/1、10everO、开放0相反持续正确；未交5初始开放+5后开放+10未开放分解及原生NOE数值。方向、参照、非动力学转变边界充分，未将未完成的NOE分析冒充结果。
V043,5,0,0,0,0,0,1,0,0,CCCCC,实际SAXS指定点残差和两项methyl上界违反是允许的有效比较；分别解释观测、作者联合拟合及非唯一分布。明确当前并非FRET反演，未采用R0/dye/AV/RMP为必要条件；额外Bayesian状态数/先验检查负担另列探索性问题。
V044,2,2,1,1,0,0,1,0,0,ECCEM,将未修复大距离表解释为M20/R28真实接触支持，未发现或降级周期性异常；又把图3底物下降更慢误读为与Ki方向不一致，形成第二核心错误。Ki正确；未声称尾部是物理切换，unit2保留；虽有无角度和因果边界，未指出缺坐标不能修表，unit5缺失。
V045,4,0,0,1,0,0,1,0,0,CCCMC,四个增量及方向/幅度、无配体与ATP实验、4.3ms非MD结论正确。已说明轨迹时间、n=1及相关帧，未报告303.15K与294K温度差，合并条件单元按缺失记，不计事实错误。
V046,5,0,0,0,0,0,1,0,3,CCCCC,全分布中位数、重叠范围及四个首末增量正确；KS仅描述，不当独立显著性。apo、时间温度、域定义、实验4.3ms与先后顺序边界清楚。
V047,4,0,0,1,0,0,1,0,0,CCCMC,四增量、准确窗口与方向/幅度、apo和4.3ms实验来源正确；未交303.15/294K温度差，条件单元按缺失，不作核心事实错误。
V048,5,0,0,0,0,0,1,0,0,CCCCC,SAXS90点χ²1.915及NOE47/292、8/40正确；作者权重与新优化分开，上界和独立预测边界正确。正文正相对熵配exp(−Srel)数值自洽，与作者负Srel约定不同，次要记号问题。
V049,2,1,0,2,0,0,1,0,2,MMECC,5/4/1方向事件正确，但未交10everO及5+5+10。把开放起始18/20误写为BOTH_FAR相对偏好，实际18/20为OPEN_NOE一致，属于核心科学结论反转。方向与完整状态边界仍正确。
V050,4,0,0,1,0,0,1,0,2,MCCCC,四首末差值与方向、幅度、有限单轨迹及4.3ms实验边界正确；未交全分布中心与重叠。配体文字在无配体与未注明之间摇摆，已避免归因ATP，列次要证据使用不充分。
V051,4,0,0,1,0,0,1,0,0,CCMCC,主分类、两组分母、0.5/2Å敏感性正确，p95=1.32但未交ES04@188/ES15@690；90.75%对精确90.744%为微小舍入，不另计核心错误。原生列与非动力学边界正确。
V052,2,1,1,2,0,0,1,0,0,ECCMM,最终简短正文将缺陷距离表的均值差作为真实接触增强，未检测/降级。Ki正确；图3仅称相容，没有交WT两药抑制/L28R4DTMP更强的具体依据，记缺失。无坐标不能修表的边界也缺失。仅声称完整答案已列明不替代当前正文交付。
V053,1,4,3,0,0,0,1,0,0,EECEE,未识别缺陷表且把大均值解释为间歇性物理接触；又以该接触网络归因动力学优势。图3同段既正确称4DTMP更慢，又称抑制较弱，方向矛盾。Ki数值正确；缺坐标修复边界缺失且强因果覆盖末尾限制。核心错误分别为输入物理有效性、长尾动态解释、图3方向、因果升级。
V054,4,0,0,1,0,0,1,0,0,CCMCC,主分类及敏感性正确，p95和19/20正确但缺闭合组ES04/ES15 entry时间。末尾新增reweighting/完整似然负担为探索性方法适用性问题，不改冻结词表计分。
V055,2,0,0,3,0,0,1,0,2,MMMCC,5/4候选及初始5开放给出，未交50点1候选和10everO完整结果，也没有5+5+10分解或原生NOE结果。明确未实际扫描/计算，按缺失不当作假造错误。20点文字可读为15个其他轨迹中2个无持续，并非宣称15闭，因此不另罚。
V056,4,0,0,1,0,0,1,0,0,MCCCC,M20完整数值、R28六对及O3P混合、Ki/Fig3和单轨迹/氢键/因果边界正确；没有给出N18和W22 O3P的结果，六对核心单元按缺失。
V057,5,0,0,0,0,0,1,0,0,CCCCC,SAXS172.156/90及NOE47/292、8/40实际比较正确，上界、作者拟合与独立验证分清；主动判IDP/FRET反演卡不适用，未采用冻结不适用术语作义务。额外posterior检查要求另列探索性。
V058,1,0,0,4,0,0,1,0,0,MMMMC,有效帧计数和18/20、0/10正确，但未给闭合9相对/1部分、开放1相对/1部分；p95及ES04@188给出，ES15首entry690缺；τ2只有3一致缺2部分/5相对，合并核心单元均缺失。边界正确，BME未做未声称必需，不新增冻结主指标。
V059,5,0,0,0,0,0,1,0,0,CCCCC,主计数、p95及两entry、敏感性正确；把其余类别叫不支持而不是部分，已明确按未达到两个预定阈值定义，保留术语边界备注。两套约束都写19条为次要来源描述错误，不改变已正确使用第二列。
V060,4,0,0,1,0,0,1,0,0,CCMCC,主分类、敏感性、p95正确，但未给两条closed entry轨迹和时间；同数据参照非独立验证、有限窗口边界正确。
V061,4,0,0,1,0,0,1,0,0,CCCMC,四增量及含义正确。把来源已明确无ATP/AMP的状态称未提供，且没有温度比较，条件证据不足记缺失；没有正面宣称有配体或直接否定实验。
V062,5,0,0,0,0,0,1,0,3,CCCCC,全分布中心与重叠、首末正向变化、无配体和温度时间差以及先后顺序边界正确。closed LID+1.177由已舍入均值相减产生，差<0.001Å，不作核心错误。
V063,2,2,0,1,0,0,1,0,0,ECMEC,闭合主分类写8相对2其余而非9/1，核心错1。敏感性0.5开放相对15/20错误，τ2报告22/20后主动撤回，保留失败不算造假；敏感性单元整体错误且未完成。p95正确但两entry缺失。
V064,3,1,0,1,0,0,1,0,0,CCEMC,四个增量表正确，解释却称closed LID比NMP小0.0855，实际大0.0855，核心幅度方向错误；条件单元漏303.15/294K。错误独立帧Welch区间明确作为不适用示例，未当显著性证据。
V065,4,0,0,1,0,0,1,0,0,CCCMC,四差值、方向与幅度、apo及实验瞬态区分正确；漏温度比较，条件单元缺失。
V066,4,0,0,1,0,0,1,0,0,CCMCC,N18/W22/M20 O3P下降（N18用方向而非数值，仍是正确回答）、M20数值、Ki/Fig3及边界正确；R28只详细交NE/NH2、NH1称比例较低，没有明确六对均值下降，核心单元3缺失。磷酸氧是次要化学错误。
V067,2,1,0,2,0,0,1,0,0,MECMC,M20 WT-TMP<6Å误报11.8%，实际约7.0%，虽均值正确仍为核心支持数字错误。未交N18 O3P结果，unit1缺失。六R28选择性方向已有总括与代表数据，unit3正确。图3只说过程不同，未明确WT两药均抑制、L28R4DTMP更强，unit4缺失；没有反向声称4DTMP更弱。
V068,5,0,0,0,0,0,1,0,0,CCCCC,主分类、各容差、p95和两entry全部正确；原生列/方向与完整状态边界充分。BME未核准及建议联合拟合为额外方法负担，探索性记录，不扩冻结不适用术语指标。
V069,5,0,0,0,0,0,1,0,3,CCCCC,分布中心和重叠、四个首末变化、apo/温度/实验时间差及先后顺序边界均正确。名义KS p值明示不能作为独立重复证据。
V070,2,2,0,1,0,0,1,0,0,EEMCC,开组将跨两组OPEN_NOE总数19369当本组计数并给96.75%，主文与表格90.74%矛盾；闭组把轨迹平均12.77%称池化帧比例，实际17.77%。两种分母/汇总错误各计1。主轨迹类别与敏感性类别正确；p95与21总entry有而两closed定位缺失。
V071,4,0,0,1,0,0,1,0,3,CMCCC,5/4/1、10everO、开放0正确。分列5初始开放和5后开放，但未完整交10从未开放分解，unit2缺失。原生9相对与10ever、开放18一致足以保留正确有限答案，11不适用/其他是明确合并标签而非错误分类。
V072,3,1,0,1,0,0,1,0,0,CCMEC,主分类正确；p95及188/690有但未把两entry定位到ES04/ES15。敏感性轨迹类别正确，帧池化比例却在0.5/2Å采用轨迹平均0.80%/46.52%，实际1.12%/58.44%，一类统计汇总错误。
V073,3,2,2,0,0,0,1,0,0,ECCCE,把缺陷表距离/近接比例当真实局部支持，未检测降级；合并结论称通过这些接触产生动力学耦合从而解释优势，超出关联，末尾因果限制未使该主张成立。Ki和Fig3正确；无明确长尾物理切换主张，unit2正确。
V074,3,1,1,1,0,0,1,0,0,MCCCE,M20数值、R28六对/O3P混合、Ki/Fig3正确；N18 O3P结果缺失。结论“利用新增的动态局部接触…使…抑制表现改善”把相关性升级成因果，边界只说不能确定哪项速率，仍未支持该因果。
