case_id,paper_id,locator,obligation_id,obligation_text,matched_family,matched_rule,target_kind,coverage_label,evidence_path_finding,dependency_finding,route_finding,claim_ceiling_finding,implementation_status,failure_layer,generic_vs_source_specific,candidate_repair_id,overtriggered_rules
case_006,PDFMD-007,FUE-P02-FIG1; FUE-P03-FIG2,case_006_o01,"What is the source-native SAXS record, and which reported size quantity is derived from that record?",F03_SOURCE_MEASUREMENT_SEMANTICS,F03R01_SOURCE_NATIVE_MEASUREMENT,SOURCE,COVERED_EXACT,"Required paths include native observable, estimand, time semantics, spatial support, unit/aggregation, and declaration status.",No source-local prerequisite.,SOURCE_LOOKUP; UNRESOLVED; SOURCE_LOOKUP rather than inference.,PASS records native measurement semantics only.,COMPLETE_DRAFT,NO_GENERIC_RULE_DEFECT,NO_GENERIC_RULE_DEFECT,,
case_006,PDFMD-007,FUE-P02-FIG1; FUE-P03-FIG2,case_006_o02,Are calculation assumptions and uncertainty needed to interpret the derived size quantity stated separately from the profile?,F04_SOURCE_RELIABILITY_AND_UNCERTAINTY,F04R01_SOURCE_RELIABILITY_PROVENANCE,SOURCE,COVERED_PARTIAL,The candidate map represents uncertainty and detection-boundary provenance but has no executable profile-processing contract.,No dependency.,HUMAN_OR_NEW_DATA; CANDIDATE_MAP_ONLY_NOT_EVALUATED; HUMAN_OR_NEW_DATA.,No generic reliability conclusion is frozen.,CANDIDATE_MAP_ONLY,RULE_GAP,NO_GENERIC_RULE_DEFECT,,
case_007,PDFMD-007,FUE-P02-FIG1; FUE-P03-FIG2,case_007_o01,"What is the source-native FRET observable, and what distance quantity is inferred through a stated model?",F03_SOURCE_MEASUREMENT_SEMANTICS,F03R01_SOURCE_NATIVE_MEASUREMENT,SOURCE,COVERED_EXACT,The native-observable and estimand paths directly distinguish FRET efficiency from a derived distance quantity.,No source-local prerequisite.,SOURCE_LOOKUP; UNRESOLVED; SOURCE_LOOKUP.,PASS remains a measurement-semantic declaration only.,COMPLETE_DRAFT,NO_GENERIC_RULE_DEFECT,NO_GENERIC_RULE_DEFECT,,
case_007,PDFMD-007,FUE-P01-ABSTRACT; FUE-P02-FIG1,case_007_o02,"Are label identity, distance-model assumptions, and their limitation recorded before comparing the inferred quantity with another source?",F05_REPRESENTATION_SUPPORT_AND_FORWARD_BRIDGE,F05R02_SOURCE_FORWARD_BRIDGE,SOURCE,COVERED_PARTIAL,The candidate bridge field can record a bridge status but does not validate FRET distance-model assumptions.,No dependency.,HUMAN_OR_NEW_DATA; CANDIDATE_MAP_ONLY_NOT_EVALUATED; HUMAN_OR_NEW_DATA.,No forward-bridge conclusion is frozen.,CANDIDATE_MAP_ONLY,RULE_GAP,NO_GENERIC_RULE_DEFECT,,
case_008,PDFMD-004,BEN-P01-ABSTRACT,case_008_o01,"For every evidence type, what is the native measurement or computation, and what representation is generated by integration?",F03_SOURCE_MEASUREMENT_SEMANTICS,F03R01_SOURCE_NATIVE_MEASUREMENT,SOURCE,COVERED_PARTIAL,"The required semantic fields fit each source-native object, but the current binding does not define how a multimodal publication must be decomposed before evaluation.",No dependency specifies per-modality decomposition before an integrated representation is reviewed.,SOURCE_LOOKUP; UNRESOLVED; SOURCE_LOOKUP.,"PASS cannot certify reliability, comparability, validation, or the integrated ensemble.",COMPLETE_DRAFT,REQUIRED_EVIDENCE_GAP,HUMAN_JUDGMENT_ONLY,,
case_008,PDFMD-004,BEN-P01-ABSTRACT; BEN-P01-INTRO,case_008_o02,Should a publication-level multimodal bundle be represented as one evidence object or as multiple source-native objects linked to an integrated representation?,F03_SOURCE_MEASUREMENT_SEMANTICS,,SOURCE,HUMAN_JUDGMENT_ONLY,No current contract chooses evidence-object granularity; F03 can evaluate only an already admitted source object.,No dependency applies.,HUMAN_OR_NEW_DATA; Human source-science decision before a source representation is admitted.,No automatic choice can upgrade an integrated representation to a source-native measurement.,NOT_APPLICABLE_TO_GRANULARITY_DECISION,NO_GENERIC_RULE_DEFECT,HUMAN_JUDGMENT_ONLY,,
case_009,PDFMD-011,SAN-P01-ABSTRACT; SAN-P02-RESULTS,case_009_o01,"What is directly observed for each modality, what temporal/statistical unit does it represent, and what quantity is inferred?",F03_SOURCE_MEASUREMENT_SEMANTICS,F03R01_SOURCE_NATIVE_MEASUREMENT,SOURCE,COVERED_EXACT,"The contract requires native observable, estimand, time semantics, spatial support, and unit/aggregation.",No source-local prerequisite.,SOURCE_LOOKUP; UNRESOLVED; SOURCE_LOOKUP.,PASS records only source-native semantics.,COMPLETE_DRAFT,NO_GENERIC_RULE_DEFECT,NO_GENERIC_RULE_DEFECT,,
case_009,PDFMD-011,SAN-P02-RESULTS,case_009_o02,Which mapping and assumptions connect fluorescence or EPR evidence to an assigned structural state?,F05_REPRESENTATION_SUPPORT_AND_FORWARD_BRIDGE,F05R02_SOURCE_FORWARD_BRIDGE,SOURCE,COVERED_PARTIAL,The candidate field represents a forward bridge but does not evaluate mapping assumptions or state-assignment validity.,No dependency.,HUMAN_OR_NEW_DATA; CANDIDATE_MAP_ONLY_NOT_EVALUATED; HUMAN_OR_NEW_DATA.,No forward-bridge conclusion is frozen.,CANDIDATE_MAP_ONLY,RULE_GAP,NO_GENERIC_RULE_DEFECT,,
case_010,PDFMD-010,PET-P01-ABSTRACT; PET-P03-TABLE1,case_010_o01,"Are molecular object, ligand state, label placement, physical state, and condition compatible for the intended cross-method comparison?",F02_SYSTEM_CONSTRUCT_AND_CONDITION,F02R02_EDGE_CONDITION_COMPATIBILITY,EDGE,COVERED_EXACT,The EDGE contract requires endpoint identities and a declared condition relation.,Both endpoint F02R01 source-context results must PASS before an EDGE PASS; F06 comparability remains separate.,SOURCE_LOOKUP; UNRESOLVED; SOURCE_LOOKUP. An explicit mismatch produces FAIL.,PASS records matched condition only; it does not establish comparability or independence.,COMPLETE_DRAFT,NO_GENERIC_RULE_DEFECT,NO_GENERIC_RULE_DEFECT,,
case_010,PDFMD-010,PET-P01-ABSTRACT; PET-P02-FIG1; PET-P03-TABLE1,case_010_o02,Is a mapping from each technique's native signal to the compared distance quantity stated together with known technique-specific limitations?,F06_CROSS_SOURCE_COMPARABILITY_AND_EVIDENCE_ROLE,F06R02_EDGE_COMPARABILITY,EDGE,COVERED_PARTIAL,The EDGE requires bridge_status but no complete Rule evaluates whether the modality-specific bridge is scientifically valid.,F02R02 and F03R01 endpoint prerequisites are correctly required before an EDGE PASS.,SOURCE_LOOKUP; UNRESOLVED; SOURCE_LOOKUP.,PASS cannot imply numeric equivalence or shared population.,COMPLETE_DRAFT,RULE_GAP,METHOD_PROFILE_ISSUE,,
case_011,PDFMD-005,BON-P01-ABSTRACT,case_011_o01,"Which observations are used to construct a representation, and which observations are reserved to assess fit?",F06_CROSS_SOURCE_COMPARABILITY_AND_EVIDENCE_ROLE,F06R01_SOURCE_EVIDENCE_ROLE,SOURCE,COVERED_EXACT,"The source-role contract requires evidence role, source locator, and data-lineage status.",Validation independence is intentionally separate at EDGE scope.,SOURCE_LOOKUP; UNRESOLVED; SOURCE_LOOKUP.,PASS records a role and does not establish validation independence.,COMPLETE_DRAFT,NO_GENERIC_RULE_DEFECT,NO_GENERIC_RULE_DEFECT,,
case_011,PDFMD-005,BON-P01-ABSTRACT; BON-P01-INTRO,case_011_o02,"Is validation evidence independently sourced, or is it a partition or cross-validation procedure within one measurement lineage?",F06_CROSS_SOURCE_COMPARABILITY_AND_EVIDENCE_ROLE,F06R03_EDGE_VALIDATION_INDEPENDENCE,EDGE,COVERED_EXACT,"The EDGE contract requires validation claim, independence, shared-error, and lineage fields.",No F06R01 result can substitute for the EDGE independence relation.,SOURCE_LOOKUP; UNRESOLVED; SOURCE_LOOKUP when lineage facts are absent.,PASS only records a reviewable independence label; it does not approve the science.,COMPLETE_DRAFT,NO_GENERIC_RULE_DEFECT,DATA_INSUFFICIENT,,
case_012,PDFMD-004,BEN-P01-ABSTRACT,case_012_o01,"For each evidence object, what role does it play in construction, support, control, or validation?",F06_CROSS_SOURCE_COMPARABILITY_AND_EVIDENCE_ROLE,F06R01_SOURCE_EVIDENCE_ROLE,SOURCE,COVERED_EXACT,"Required role, source-locator, and lineage fields directly express the source-local part of the obligation.",No EDGE relation is evaluated by this source-local Rule.,SOURCE_LOOKUP; UNRESOLVED; SOURCE_LOOKUP.,PASS records a role only.,COMPLETE_DRAFT,NO_GENERIC_RULE_DEFECT,DATA_INSUFFICIENT,,
case_012,PDFMD-004,BEN-P01-ABSTRACT; BEN-P01-INTRO,case_012_o02,"For each claimed validation relationship, is lineage independent of the information used to derive the representation?",F06_CROSS_SOURCE_COMPARABILITY_AND_EVIDENCE_ROLE,F06R03_EDGE_VALIDATION_INDEPENDENCE,EDGE,COVERED_EXACT,"The required EDGE fields distinguish independence, shared error, and data lineage from source-role facts.",Comparability remains separately represented by F06R02.,SOURCE_LOOKUP; UNRESOLVED; SOURCE_LOOKUP.,PASS only records an independence label and retains a human scientific gate.,COMPLETE_DRAFT,NO_GENERIC_RULE_DEFECT,DATA_INSUFFICIENT,,
case_013,PDFMD-008,HEL-P01-ABSTRACT,case_013_o01,"What is the statistical unit for reported precision and accuracy, and how is provenance recorded across laboratories?",F04_SOURCE_RELIABILITY_AND_UNCERTAINTY,F04R01_SOURCE_RELIABILITY_PROVENANCE,SOURCE,COVERED_PARTIAL,The candidate map requests uncertainty and provenance fields but has no executable statistical-unit or lab-lineage contract.,No dependency.,HUMAN_OR_NEW_DATA; CANDIDATE_MAP_ONLY_NOT_EVALUATED; HUMAN_OR_NEW_DATA.,No generic reliability conclusion is frozen.,CANDIDATE_MAP_ONLY,RULE_GAP,NO_GENERIC_RULE_DEFECT,,
case_013,PDFMD-008,HEL-P01-ABSTRACT; HEL-P01-INTRO,case_013_o02,Which correction and conversion uncertainties must remain attached when a FRET efficiency is expressed as a distance?,F04_SOURCE_RELIABILITY_AND_UNCERTAINTY,F04R01_SOURCE_RELIABILITY_PROVENANCE,SOURCE,COVERED_PARTIAL,"The candidate map represents uncertainty provenance, but it lacks a complete conversion-uncertainty evaluator.",No dependency.,HUMAN_OR_NEW_DATA; CANDIDATE_MAP_ONLY_NOT_EVALUATED; HUMAN_OR_NEW_DATA.,No generic reliability conclusion is frozen.,CANDIDATE_MAP_ONLY,RULE_GAP,METHOD_PROFILE_ISSUE,,
case_014,PDFMD-009,HOF-P01-ABSTRACT; HOF-P01-INTRO,case_014_o01,"Are map fit, data correlation/noise, and physico-chemical quality documented as separate evidential dimensions?",F04_SOURCE_RELIABILITY_AND_UNCERTAINTY,F04R01_SOURCE_RELIABILITY_PROVENANCE,SOURCE,COVERED_PARTIAL,The candidate map contains uncertainty and detection-boundary concepts but does not express the three-way map-fit/correlation/physical-quality relationship.,No dependency.,HUMAN_OR_NEW_DATA; CANDIDATE_MAP_ONLY_NOT_EVALUATED; HUMAN_OR_NEW_DATA.,No generic reliability conclusion is frozen.,CANDIDATE_MAP_ONLY,RULE_GAP,METHOD_PROFILE_ISSUE,,
case_014,PDFMD-009,HOF-P01-ABSTRACT; HOF-P01-INTRO,case_014_o02,Does a reported ensemble retain uncertainty and resolution limits of the source map?,F04_SOURCE_RELIABILITY_AND_UNCERTAINTY,F04R01_SOURCE_RELIABILITY_PROVENANCE,SOURCE,COVERED_PARTIAL,The candidate map can hold source-located uncertainty but has no executable cryo-EM resolution/ensemble contract.,No dependency.,HUMAN_OR_NEW_DATA; CANDIDATE_MAP_ONLY_NOT_EVALUATED; HUMAN_OR_NEW_DATA.,No generic reliability conclusion is frozen.,CANDIDATE_MAP_ONLY,RULE_GAP,METHOD_PROFILE_ISSUE,,
case_015,PDFMD-037,WAN-P01-ABSTRACT; WAN-P02-OVERVIEW,case_015_o01,"Are parent model, experimental map, resolution, and algorithmic transformation recorded for each generated multiconformer?",F05_REPRESENTATION_SUPPORT_AND_FORWARD_BRIDGE,F05R01_SOURCE_CANDIDATE_SUPPORT,SOURCE,COVERED_PARTIAL,"The candidate support map asks for parentage and prior-data exposure, but does not fully encode map-resolution and transformation provenance.",No dependency.,HUMAN_OR_NEW_DATA; CANDIDATE_MAP_ONLY_NOT_EVALUATED; HUMAN_OR_NEW_DATA.,No candidate-support conclusion is frozen.,CANDIDATE_MAP_ONLY,RULE_GAP,METHOD_PROFILE_ISSUE,,
case_015,PDFMD-037,WAN-P01-ABSTRACT; WAN-P02-OVERVIEW,case_015_o02,Is the generated model kept distinct from the independent experimental input that could corroborate it?,F05_REPRESENTATION_SUPPORT_AND_FORWARD_BRIDGE,F05R01_SOURCE_CANDIDATE_SUPPORT,SOURCE,COVERED_PARTIAL,"The candidate support lineage names generator/parentage and prior exposure, but has no executable independent-support evaluator.",No dependency.,HUMAN_OR_NEW_DATA; CANDIDATE_MAP_ONLY_NOT_EVALUATED; HUMAN_OR_NEW_DATA.,No candidate-support conclusion is frozen.,CANDIDATE_MAP_ONLY,RULE_GAP,METHOD_PROFILE_ISSUE,,
case_016,PDFMD-017,THO-P01-ABSTRACT,case_016_o01,Is the forward mapping from a proposed representation to the experimental observable specified before agreement is interpreted?,F05_REPRESENTATION_SUPPORT_AND_FORWARD_BRIDGE,F05R02_SOURCE_FORWARD_BRIDGE,SOURCE,COVERED_PARTIAL,The candidate map recognizes forward-bridge status but does not evaluate a mapping's declared domain.,No dependency.,HUMAN_OR_NEW_DATA; CANDIDATE_MAP_ONLY_NOT_EVALUATED; HUMAN_OR_NEW_DATA.,No forward-bridge conclusion is frozen.,CANDIDATE_MAP_ONLY,RULE_GAP,NO_GENERIC_RULE_DEFECT,CR-001,F02R01_SOURCE_SAMPLE_SYSTEM_COMPOSITION_DECLARATION; F03R01_SOURCE_NATIVE_MEASUREMENT
case_016,PDFMD-017,THO-P01-ABSTRACT; THO-P01-INTRO,case_016_o02,"Are mapping assumptions, calibration, and uncertainty adequate for the requested comparison?",F05_REPRESENTATION_SUPPORT_AND_FORWARD_BRIDGE,F05R02_SOURCE_FORWARD_BRIDGE,SOURCE,COVERED_PARTIAL,The candidate map does not encode calibration or uncertainty adequacy.,No dependency.,HUMAN_OR_NEW_DATA; CANDIDATE_MAP_ONLY_NOT_EVALUATED; HUMAN_OR_NEW_DATA.,No forward-bridge conclusion is frozen.,CANDIDATE_MAP_ONLY,RULE_GAP,METHOD_PROFILE_ISSUE,CR-001,F02R01_SOURCE_SAMPLE_SYSTEM_COMPOSITION_DECLARATION; F03R01_SOURCE_NATIVE_MEASUREMENT
case_017,PDFMD-011,SAN-P01-ABSTRACT; SAN-P02-RESULTS,case_017_o01,Which alternative state interpretations remain compatible with reported evidence and which observations discriminate among them?,F07_IDENTIFIABILITY_AND_NEXT_ACTION,F07R01_CASE_IDENTIFIABILITY,CASE,COVERED_PARTIAL,"The candidate map requests candidate hypotheses and a next discriminating action, which represents the need but is not executable.",No dependency.,HUMAN_OR_NEW_DATA; CANDIDATE_MAP_ONLY_NOT_EVALUATED; HUMAN_OR_NEW_DATA.,No identifying conclusion is frozen.,CANDIDATE_MAP_ONLY,RULE_GAP,HUMAN_JUDGMENT_ONLY,,
case_017,PDFMD-011,SAN-P01-ABSTRACT; SAN-P02-RESULTS,case_017_o02,"What next measurement, perturbation, or control would reduce the leading unresolved ambiguity?",F07_IDENTIFIABILITY_AND_NEXT_ACTION,F07R01_CASE_IDENTIFIABILITY,CASE,COVERED_PARTIAL,The candidate map represents a next discriminating action but provides no generic action selector or scientific authority.,No dependency.,HUMAN_OR_NEW_DATA; CANDIDATE_MAP_ONLY_NOT_EVALUATED; HUMAN_OR_NEW_DATA.,No identifying conclusion is frozen.,CANDIDATE_MAP_ONLY,RULE_GAP,HUMAN_JUDGMENT_ONLY,,
case_018,PDFMD-016,SIL-P01-ABSTRACT; SIL-P01-INTRO,case_018_o01,"What is the native PRE observable, what representation is fitted to it, and what information is lost when sparse data are summarized by few conformations?",F03_SOURCE_MEASUREMENT_SEMANTICS,F03R01_SOURCE_NATIVE_MEASUREMENT,SOURCE,COVERED_PARTIAL,"F03 can record PRE native semantics and an estimand, but does not encode the sparse-data-to-fitted-representation loss or model-selection boundary.",No dependency.,SOURCE_LOOKUP; UNRESOLVED; SOURCE_LOOKUP.,PASS is source-semantic only and cannot validate the fitted representation.,COMPLETE_DRAFT,REQUIRED_EVIDENCE_GAP,HUMAN_JUDGMENT_ONLY,,
case_018,PDFMD-016,SIL-P01-ABSTRACT; SIL-P01-INTRO,case_018_o02,Which alternative ensemble or model assumptions could yield the reported tertiary-interaction map?,F07_IDENTIFIABILITY_AND_NEXT_ACTION,F07R01_CASE_IDENTIFIABILITY,CASE,COVERED_PARTIAL,The candidate map represents hypotheses and a discriminating action but has no executable model-ambiguity evaluator.,No dependency.,HUMAN_OR_NEW_DATA; CANDIDATE_MAP_ONLY_NOT_EVALUATED; HUMAN_OR_NEW_DATA.,No identifying conclusion is frozen.,CANDIDATE_MAP_ONLY,RULE_GAP,HUMAN_JUDGMENT_ONLY,,
case_019,PDFMD-027,PIT-P01-ABSTRACT; PIT-P01-INTRO,case_019_o01,"Which experimental observable and uncertainty are targeted, and how does the restraint or reweighting method map the simulation to that target?",F05_REPRESENTATION_SUPPORT_AND_FORWARD_BRIDGE,F05R02_SOURCE_FORWARD_BRIDGE,SOURCE,COVERED_PARTIAL,"The candidate map covers a declared bridge status but does not assess target uncertainty, biasing weights, or mapping validity.",No dependency.,HUMAN_OR_NEW_DATA; CANDIDATE_MAP_ONLY_NOT_EVALUATED; HUMAN_OR_NEW_DATA.,No forward-bridge conclusion is frozen.,CANDIDATE_MAP_ONLY,RULE_GAP,METHOD_PROFILE_ISSUE,CR-001,F02R01_SOURCE_SAMPLE_SYSTEM_COMPOSITION_DECLARATION; F03R01_SOURCE_NATIVE_MEASUREMENT
case_019,PDFMD-027,PIT-P01-INTRO,case_019_o02,"What alternative distributions remain compatible with ensemble-average observations, and how should model bias be communicated?",F07_IDENTIFIABILITY_AND_NEXT_ACTION,F07R01_CASE_IDENTIFIABILITY,CASE,SOURCE_SPECIFIC_ONLY,"The candidate identifiability map is adjacent but does not express maximum-entropy bias, distribution nonuniqueness, or reporting requirements.",No dependency.,HUMAN_OR_NEW_DATA; Human review; no executable evaluation.,No identifying conclusion is frozen.,CANDIDATE_MAP_ONLY,NO_GENERIC_RULE_DEFECT,METHOD_PROFILE_ISSUE,CR-001,F02R01_SOURCE_SAMPLE_SYSTEM_COMPOSITION_DECLARATION; F03R01_SOURCE_NATIVE_MEASUREMENT
case_020,PDFMD-002,GOM-P01-ABSTRACT; GOM-P02-FIG2,case_020_o01,"Before interpreting an observable, are construct identity, labeling, condition, and relevant sample composition declared for that source object?",F02_SYSTEM_CONSTRUCT_AND_CONDITION,F02R01_SOURCE_SAMPLE_SYSTEM_COMPOSITION_DECLARATION,SOURCE,COVERED_EXACT,"Required construct/condition, composition, and declaration-status fields directly express the prerequisite context.",No source-local prerequisite.,SOURCE_LOOKUP; UNRESOLVED; SOURCE_LOOKUP; omission must not be treated as homogeneity.,PASS only records a source-local declaration.,COMPLETE_DRAFT,NO_GENERIC_RULE_DEFECT,DATA_INSUFFICIENT,,
case_020,PDFMD-002,GOM-P01-ABSTRACT; GOM-P02-FIG1; GOM-P02-FIG2,case_020_o02,"Is source-context declaration treated as a prerequisite for, rather than a replacement for, identifying the native observable and its derivation path?",F03_SOURCE_MEASUREMENT_SEMANTICS,F03R01_SOURCE_NATIVE_MEASUREMENT,SOURCE,WRONG_DEPENDENCY,F03 requires native-observable semantics but its binding and contract contain no prior F02R01 source-context dependency.,A F03 PASS can occur while F02R01 is unresolved; only later EDGE contracts require both contexts.,SOURCE_LOOKUP; F03 itself can evaluate independently; F02 and F03 each route unresolved fields to SOURCE_LOOKUP.,"F03's narrow local ceiling remains safe, but the intended source-context ordering is not enforced.",COMPLETE_DRAFT,DEPENDENCY_GAP,NO_GENERIC_RULE_DEFECT,,
