rule_id,group,question,layer,applies_when,acts_through,must_hold,claim_limit,stop,source,finding,status,evidence,v1_use
C005-RULE-001,G3,"Are two readouts the same quantity, and is the input the one reported?",A framing,"Two observables with different spatial support or averaging are compared, for example a SAXS radius of gyration and a dye distance.",Should have been applied to our own OP5 and OP6 definition (see P-05).,,Not one direct numerical comparison.,ESTIMAND_OR_SUPPORT_MISMATCH,Fuertes et al. 2017,"A SAXS radius of gyration and a terminal smFRET dye distance differ in spatial support, averaging and inverse model; matching system and condition does not make them directly comparable.",Lesson not applied on 11 September; basis of P-05.,,A
C007-RULE-001,G3,"Are two readouts the same quantity, and is the input the one reported?",B data check,"NMR, SAXS, SANS and MD results are combined.",Nanodisc results reported per observable; OP2 keeps the NOE readouts separate from the geometric direction.,,No single merged metric.,SOURCE_SEMANTICS_MERGED,Bengtsen et al. 2020,"In the nanodisc study, NMR, SAXS, SANS and MD constrain different spatial scales and observables.",In use.,data/nanodisc/per_observable.csv,B
C012-RULE-001,G3,"Are two readouts the same quantity, and is the input the one reported?",A framing,Any comparison is set up.,"Framing template at workflow step 3: question, observable, forward model, uncertainty.",,"The comparison unit is condition, claim, observable, forward model and uncertainty.",BENCHMARK_SCOPE_UNDEFINED,Wankowicz and Bonomi 2026,"The basic comparison unit for ensemble work is condition plus claim plus a modality-specific observable, forward model and uncertainty.",In use in framing.,,A
P-02,G3,"Are two readouts the same quantity, and is the input the one reported?",B data check,The authors' NOE violation files are read.,OP2 input check.,The native violation (second data column) is used; the pseudo-distance (third column) is a different quantity.,,COLUMN_SEMANTICS_UNVERIFIED,"This project, HSP90 NOE crosswalk, 10 September 2026",An earlier direction readout had used the third column. The reading was corrected before any classification was seen.,In use.,data/operators/results/OP2.json,
P-03,G3,"Are two readouts the same quantity, and is the input the one reported?",B data check,Distances are computed from periodic MD coordinates.,Admission check before a data package is frozen; ADK distance operators.,Protein–ligand distances use the nearest periodic copy; distances inside one protein use the whole molecule; an independent tool reproduces them.,,PERIODIC_GEOMETRY_UNVERIFIED,"This project, DHFR and ADK, 10 September 2026","In DHFR, stored coordinates placed the ligand in a neighbouring periodic image (46–94 Å). In ADK, a half-box rule wrongly rejected real 62–70 Å distances.",In use. VMD and GROMACS agree within 1e-5 Å and 0.005 Å.,data/dhfr/vmd_crosscheck.json; data/adk/window_changes_recomputed.json,
C005-RULE-002,G4,Does a fit to one observable support another?,D claim limit,Two data types disagree.,"Nanodisc: SAXS-only fit with the NOEs held out (analysis script of 9 September, not packaged as an operator).",,A reproducible discrepancy is reported as evidence; it is not averaged away.,BRIDGE_UNAVAILABLE,Fuertes et al. 2017,A reproducible SAXS–smFRET discrepancy can be informative and may call for a joint ensemble analysis.,Used in the nanodisc interpretation.,data/nanodisc/fit_summary.csv,D
C006-RULE-001,G4,Does a fit to one observable support another?,C analysis,An ensemble is refined or reweighted against SAXS.,Nanodisc SAXS reweighting (analysis script).,"Explicit forward model, prior, error model and uncertainty.",State weights depend on those choices.,POSTERIOR_AMBIGUITY,Shevchuk and Hub 2017,"SAXS refinement needs an intensity forward model, a physical prior, a systematic-error model and posterior uncertainty, because the curve carries little information.",Used in the nanodisc analysis.,data/nanodisc/,C
C007-RULE-002,G4,Does a fit to one observable support another?,C analysis,Maximum-entropy reweighting is used.,Nanodisc SAXS reweighting (analysis script).,,Reweighting limits departure from the MD prior; it does not discover states or give kinetics.,INTEGRATION_OPERATOR_UNVERIFIED,Bengtsen et al. 2020,BME reweighting combines source-specific likelihoods while limiting perturbation from an MD prior.,"Used in the nanodisc analysis. On 10 September it was retrieved as a method card for the HSP90 NOE question, which involves no reweighting.",data/nanodisc/,C
C007-RULE-003,G4,Does a fit to one observable support another?,D claim limit,Support is claimed from combined data.,"Nanodisc design: fit SAXS, then test the held-out NOEs.","Source independence, matched conditions, forward calculations and held-out validation are stated.",Agreement across sources is not stronger evidence by default.,SHARED_ERROR_OR_CONDITION_MISMATCH,Bengtsen et al. 2020,"Combined data are informative only when independence, condition matching, forward calculations and held-out validation are explicit.",The nanodisc test follows this rule.,data/nanodisc/comparisons.csv,D
C012-RULE-002,G4,Does a fit to one observable support another?,D claim limit,A fit to several data types is presented as the ensemble.,Claim limit on the nanodisc result.,,A compatible ensemble is not the unique ensemble.,NON_IDENTIFIABILITY_OR_MISSING_SUPPORT,Wankowicz and Bonomi 2026,A multimodal fit cannot by itself identify a unique ensemble.,In use as a claim limit.,,A
C012-RULE-003,G5,"What may the answer claim, and can each number be traced?",D claim limit,Results are reported.,"Report format: trust table with allowed and forbidden wording, uncertainty and next step.",,,GROUND_TRUTH_OR_VALIDATION_MISSING,Wankowicz and Bonomi 2026,"Benchmark outputs should include evidence lineage, allowed and forbidden claims, uncertainty, held-out validation and the next discriminating action.",In use in the report format.,data/operators/D1_TABLE_HSP90.md,D
P-04,G5,"What may the answer claim, and can each number be traced?",D claim limit,An answer states a calculated number.,Answer check.,Each number carries the operator result it came from and matches it.,An unbound number is reported as unverified.,UNBOUND_NUMBER,"This project, errors in the first HSP90 round and in a DHFR answer, 10 September 2026",One answer mixed persistence thresholds without running any code; another mistranscribed three numbers from a table.,"In use. On 8 earlier answers it caught 6 of 7 numerical errors, with no false alarm on 7 correct statements; the old check caught none.",data/operators/binding_replay_result.json,
C001-RULE-001,G6,Rules with no case in this project,,Used only when smFRET data are analysed.,None.,,,ESTIMAND_UNSPECIFIED,Hellenkamp et al. 2018,"Raw and corrected FRET efficiency, FRET-averaged distance and mean-position distance are different estimands.",No case: no smFRET data.,,B
C001-RULE-002,G6,Rules with no case in this project,,Used only when smFRET data are analysed.,None.,,,UNCERTAINTY_UNRESOLVED,Hellenkamp et al. 2018,"FRET distance uncertainty must include correction, R0, dye motion and model assumptions, not only histogram spread.",No case: no smFRET data. Applied by mistake to the HSP90 NMR question on 10 September.,,B
C001-RULE-003,G6,Rules with no case in this project,,Used only when smFRET data are analysed.,None.,,,CALIBRATION_STATUS_UNKNOWN,Hellenkamp et al. 2018,"A DNA benchmark shows reproducibility under its setup, not protein-distance accuracy.",No case: no smFRET data.,,B
C002-RULE-001,G6,Rules with no case in this project,,Used only when smFRET data are analysed.,None.,,,OBSERVABLE_UNSPECIFIED,Agam et al. 2023,"A protein smFRET comparison keeps the corrected observable, condition and label context; a bare structural distance is not equivalent.",No case: no smFRET data.,,B
C002-RULE-002,G6,Rules with no case in this project,,Used only when smFRET data are analysed.,None.,,,FORWARD_MODEL_OR_PROBE_UNVERIFIED,Agam et al. 2023,Comparing structures with smFRET needs an explicit dye and linker forward model.,No case: no smFRET data.,,C
C002-RULE-003,G6,Rules with no case in this project,,Used only when smFRET data are analysed.,None.,,,PROBE_ARTIFACT_OR_PHOTOPHYSICS_UNRESOLVED,Agam et al. 2023,A dynamic shift in BVA or E–τ plots needs photophysical and probe explanations ruled out first.,No case: no smFRET data.,,C
C003-RULE-001,G6,Rules with no case in this project,,Used only when FRET data are analysed.,None.,,,CANDIDATE_SUPPORT_UNVERIFIED,Dimura et al. 2020,"FRET-guided modelling needs a candidate ensemble, a probe-aware forward model, informative pairs and independent validation pairs.",No case: no FRET data.,,B
C003-RULE-002,G6,Rules with no case in this project,,Used only when FRET data are analysed.,None.,,,PRIOR_OR_MODEL_UNRESOLVED,Dimura et al. 2020,A good FRET fit cannot repair a fold or state missing from the candidates.,No case: no FRET data. Applied by mistake to the HSP90 NMR question on 10 September (its RMP restraint was treated as required).,,C
C003-RULE-003,G6,Rules with no case in this project,,Used only when FRET data are analysed.,None.,,,NO_HELDOUT_SUPPORT,Dimura et al. 2020,"Model uncertainty, reference-structure accuracy and agreement with FRET are separate quantities.",No case: no FRET data.,,B
C005-RULE-003,G6,Rules with no case in this project,,Used only when FRET data are analysed.,None.,,,INVERSE_MODEL_UNSUPPORTED,Fuertes et al. 2017,Polymer models used to invert mean FRET values need system-specific scrutiny.,No case: no FRET data.,,C
C008-RULE-001,G6,Rules with no case in this project,,Used only when cryo-EM data are analysed.,None.,,,MAP_PROVENANCE_OR_NOISE_UNKNOWN,Hoff et al. 2024,"Cryo-EM voxel evidence needs correlation-aware sampling, half-map and noise provenance, and a forward model.",No case: no cryo-EM data.,,B
C008-RULE-002,G6,Rules with no case in this project,,Used only when cryo-EM data are analysed.,None.,,,NOISE_DYNAMICS_CONFUSION,Hoff et al. 2024,Fuzzy density must be separated into conformational heterogeneity and noise or B-factor effects.,No case: no cryo-EM data.,,C
C008-RULE-003,G6,Rules with no case in this project,,Used only when cryo-EM data are analysed.,None.,,,FORWARD_OR_SAMPLING_UNRESOLVED,Hoff et al. 2024,"A map-consistent ensemble may describe local dynamics around one macrostate, not the full landscape.",No case: no cryo-EM data.,,C
C009-RULE-001,G6,Rules with no case in this project,,Used only when DEER or smFRET data are analysed.,None.,,,CROSS_MODAL_CONDITION_MISMATCH,Peter et al. 2022,"DEER and smFRET distances keep probe chemistry, sample state, averaging and condition; the nominal distance is not one observable.",No case: no DEER or smFRET data.,,B
C009-RULE-002,G6,Rules with no case in this project,,Used only when DEER or smFRET data are analysed.,None.,,,PROBE_OR_CONDITION_CAUSE_UNRESOLVED,Peter et al. 2022,Probe–protein interactions and cryoprotectants can explain differences between methods.,No case: no DEER or smFRET data.,,B
C009-RULE-003,G6,Rules with no case in this project,,Used only when DEER or smFRET data are analysed.,None.,,,ESTIMAND_OR_STATE_MISMATCH,Peter et al. 2022,Agreement across the tested datasets supports complementary use under the stated protocols only.,No case: no DEER or smFRET data.,,A
C010-RULE-002,G6,Rules with no case in this project,,Used only when FRET data are analysed.,None.,,,STATE_MODEL_UNIDENTIFIABLE,Sanabria et al. 2020,Global shared-fraction analysis improves identifiability but stays model- and condition-dependent.,No case: no FRET data.,,A
C011-RULE-001,G6,Rules with no case in this project,,Used only when FRET data are analysed.,None.,,,FORWARD_IMPLEMENTATION_INCOMPLETE,Steffen et al. 2021,"Predicting FRET from a trajectory needs dye, linker, trajectory and photon-statistics metadata.",No case: no FRET data.,,C
C011-RULE-002,G6,Rules with no case in this project,,Used only when FRET data are analysed.,None.,,,NOISE_CONFORMATION_OR_IMPLEMENTATION_UNRESOLVED,Steffen et al. 2021,"Predicted FRET width mixes conformational sampling and shot noise, which must be separated.",No case: no FRET data.,,C
C011-RULE-003,G6,Rules with no case in this project,,Used only when FRET data are analysed.,None.,,,AGREEMENT_OVERINTERPRETED,Steffen et al. 2021,"A DNA demonstration shows an implementation path, not protein-specific accuracy.",No case: no FRET data.,,D
