id,short_title_zh,paper,doi,question_zh,paper_target_zh,locator,rationale_zh,case_type,data_required_zh,data_status,data_urls,calculation_zh,comparison_zh,rules_probe_zh,proposed_capability_zh,current_operator_match,operator_gap_zh,priority_zh,priority_reason_zh,execution_status,dependency_group
Q11,T4 溶菌酶两种短寿命结构判别,"Dimura et al. (2020), Automated and optimally FRET-assisted structural modeling",10.1038/s41467-020-19023-1,T4 lysozyme 的实验 FRET 约束是否足以从候选结构中分别识别 C1、C2 两种短寿命构象，并重现各自接近参考晶体构象的结构范围？,论文用实验距离约束解析 C1/C2；两参考构象相差约 4 Å RMSD，FRET 信息能够区分它们。,"Results, Benchmarking the methodology; Figure 4; Supplementary Figure 6; Supplementary Table 1; PDBDEV_00000044",直接从实验观测走到构象判别；需要前向预测、误差加权和留出距离检验，不能仅比较两个 PDB 的 RMSD。,PROTEIN_OR_PROTEIN_LIPID_SCIENTIFIC_QUESTION,两状态的 FRET 距离与误差、标记位置/染料参数、候选结构、参考结构；原始荧光衰减用于必要时重估距离。,LANDING_AND_FILE_INVENTORY_VERIFIED_PAYLOAD_UNCHECKED,https://zenodo.org/records/3376527 | https://pdb-dev.wwpdb.org/entry.html?PDBDEV_00000044 | https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41467-020-19023-1/MediaObjects/41467_2020_19023_MOESM1_ESM.pdf,按染料可及体积前向计算候选结构的距离；用误差和有效自由度计算标准化 χ²；把拟合与检验距离分开，分别筛 C1/C2，再计算 Cα RMSD 与结构不确定性。,比较两态候选排名、留出 χ²、各自相对参考构象的 RMSD 及两态可分性；容差需在数据验收后预先冻结。,规则能否把状态人口、染料模型和独立验证连接到结构结论；若只检查距离字段齐全会漏掉状态配对或训练数据重复使用。,可及体积FRET预测与结构模型评分,NO_REGISTERED_MATCH_FOR_QUESTION,当前注册表没有覆盖本题完整计算的可路由Operator；所列计算为拟接能力，尚未实现或在本题验证。,后续候选,按逐题数据缺口、计算规模和科学信息量排入后续；不预先算作可运行。,NOT_RUN,T4L_SHARED_EXPERIMENT_SANABRIA_DIMURA
Q12,YaaA 错误折叠的模拟负对照,"Dimura et al. (2020), Automated and optimally FRET-assisted structural modeling",10.1038/s41467-020-19023-1,对 YaaA 的不同初始折叠，保留未用于结构优化的 FRET 距离后，能否识别错误折叠仍与数据不符，并重现正确折叠附近候选的优势？,不同初始折叠优化后仍有不同的检验 χ² 水平；错误折叠无法靠本轮约束采样修正，增加独立检验距离后质量指标趋于稳定。,"Figure 3a,c; Results, FRET-guided optimization of conformers; Figure 2a,c",加入明确失败对照，检验系统会否把优化过程完成或训练误差下降误判成正确科学结论。,SIMULATED_NEGATIVE_CONTROL,YaaA CASP11 T806 候选及优化后结构、模拟 FRET 距离/误差、优化与检验 pair 划分、5CAJ 参考结构、Figure 3 数值。,ARTICLE_AND_SOURCE_LINK_VERIFIED_CANDIDATE_PAYLOAD_UNCONFIRMED,https://www.nature.com/articles/s41467-020-19023-1#Sec19 | https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41467-020-19023-1/MediaObjects/41467_2020_19023_MOESM4_ESM.xlsx | https://github.com/Fluorescence-Tools/Olga,保持论文距离划分，以既有候选重算前向距离、留出标准化 χ² 和 Cα RMSD；增加检验 pair 数量，比较各初始折叠曲线及排名稳定性。,检查低 RMSD 候选是否同时有更好留出 χ²；错误折叠是否仍被拒绝；检验曲线是否出现论文报告的稳定趋势。,独立证据、初始模型覆盖和失败停止是否可执行；不能把低训练残差当准确度。,模拟FRET留出评分与结构RMSD,NO_REGISTERED_MATCH_FOR_QUESTION,当前注册表没有覆盖本题完整计算的可路由Operator；所列计算为拟接能力，尚未实现或在本题验证。,后续候选,按逐题数据缺口、计算规模和科学信息量排入后续；不预先算作可运行。,NOT_RUN,YAAA_SIMULATION
Q13,DNA 原始光子到校正距离,"Hellenkamp et al. (2018), Precision and accuracy of single-molecule FRET measurements—a multi-laboratory benchmark study",10.1038/s41592-018-0085-0,从同一批 confocal 原始光子数据出发，完整校正后能否恢复 DNA 两个标记间距状态，并得到与结构模型一致的距离差？,校正改变 FRET 峰的位置，尤其低 FRET 峰；正确距离转换后测得的 DNA 间距与已知结构相容。,"Figure 2a–d; Figure 4a,c; Methods, intensity corrections and distance conversion",通过原始数据—校正—距离—结构判断的完整小链路检查算子，难度高于识别 FRET 是否模型推导。,DNA_EXPERIMENTAL_METHOD_CONTROL,confocal HDF5/HT3、背景/串色/直接激发/γ/β参数、样本身份、R0 和染料模型、DNA 标记位点与参考几何。,LANDING_AND_FILE_INVENTORY_VERIFIED_SAMPLE_IDENTITY_PENDING,https://zenodo.org/records/1249497 | https://www.nature.com/articles/s41592-018-0085-0#Sec15,选 burst、逐步校正通道计数并拟合 E 分布；使用 R0 与染料可及体积换算距离，传播测量及 R0 不确定性后比较两态间距。,以校正后峰位、两态间距方向和与结构预测的归一化残差为终点；不以裸 E 峰的差异代替结构距离。,是否正确安排校正依赖顺序、区分平均效率对应的表观距离与物理平均位置距离，并传播系统误差。,光子burst处理、FRET校正与距离转换,NO_REGISTERED_MATCH_FOR_QUESTION,当前注册表没有覆盖本题完整计算的可路由Operator；所列计算为拟接能力，尚未实现或在本题验证。,后续候选,按逐题数据缺口、计算规模和科学信息量排入后续；不预先算作可运行。,NOT_RUN,10.1038/s41592-018-0085-0
Q14,DNA 跨染料距离比的自洽性,"Hellenkamp et al. (2018), Precision and accuracy of single-molecule FRET measurements—a multi-laboratory benchmark study",10.1038/s41592-018-0085-0,在传播染料和仪器不确定性后，两种染料对对 DNA 长/短间距比的估计是否一致，并且能够支持同一几何模型？,不同染料对所得相对距离可通过自洽检验；距离比较依赖染料运动与可及体积假设。,"Results, Distance determination and Self-consistency argument; Figure 4; Methods, self-consistency; Supplementary Tables 2–4 and Notes 3,5",真正测试跨测量的定量可比性：共享 R0 的误差可在比值中部分抵消，染料模型偏差却可能保留。,DNA_EXPERIMENTAL_METHOD_CONTROL,各实验室/染料对 lo、mid 的 E 与误差，校正参数、R0、染料运动数据及模型距离；完整跨实验室数值是否可下载待确认。,PAPER_TABLES_IDENTIFIED_FULL_CROSSLAB_PAYLOAD_UNCONFIRMED,https://www.nature.com/articles/s41592-018-0085-0 | https://zenodo.org/records/1249497,由 E 计算各样品距离及长短比，按共享校准参数做相关误差传播；计算不同染料对之间的差值区间和模型残差；做染料模型敏感性分析。,比较各染料对距离比与参考几何比的兼容区间，而不是只比较点估计或逐点误差条。,规则是否识别共享系统误差、重复单位为实验室而非单个光子，以及不同染料是否能合并。,相关误差传播与跨染料几何检验,NO_REGISTERED_MATCH_FOR_QUESTION,当前注册表没有覆盖本题完整计算的可路由Operator；所列计算为拟接能力，尚未实现或在本题验证。,后续候选,按逐题数据缺口、计算规模和科学信息量排入后续；不预先算作可运行。,NOT_RUN,10.1038/s41592-018-0085-0
Q15,HiSiaP 底物闭合与染料冲突,"Peter et al. (2022), Cross-validation of distance measurements in proteins by PELDOR/DEER and single-molecule FRET",10.1038/s41467-022-31945-6,HiSiaP 结合底物后是否发生结构域闭合；为什么 175/228 位点的一组 FRET 染料给出异常判断，而更换染料后恢复与 DEER 和结构预测一致的结论？,TMR/Cy5 条件的测量恢复预期闭合；异常荧光结果与染料和蛋白相互作用相联系。,"Results, Comparison 1: HiSiaP; Figures 3 and 4c–e; Supplementary Figures 4–6",同一体系有相互矛盾的测量和干预对照，最能揭露机械平均多方法距离的失败。,PROTEIN_OR_PROTEIN_LIPID_SCIENTIFIC_QUESTION,两组染料的 apo/holo smFRET、DEER 时间迹与分布、各向异性/寿命、标记位点和结构 2CEY/3B50。,LANDING_AND_FILE_INVENTORY_VERIFIED_SOURCE_PAYLOAD_UNCHECKED,https://zenodo.org/record/6683587 | https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41467-022-31945-6/MediaObjects/41467_2022_31945_MOESM4_ESM.xlsx,重估各条件距离变化与区间，计算与开/闭结构染料前向预测的残差；关联各向异性和寿命变化，比较换染料前后对闭合假设的支持。,检查闭合方向是否与两个独立测量链相容，异常是否随染料替换消失；保留非唯一因果解释边界。,冲突证据能否触发染料模型适用性检查和额外计算，避免把异常 probe 当成新的蛋白构象。,FRET/DEER结构前向预测及染料诊断,NO_REGISTERED_MATCH_FOR_QUESTION,当前注册表没有覆盖本题完整计算的可路由Operator；所列计算为拟接能力，尚未实现或在本题验证。,下一顺位,科学判别价值高；先验收数值表，避免一开始下载1.5至1.7 GB整包。,NOT_RUN,10.1038/s41467-022-31945-6
Q16,MalE 保护剂与开闭态分布,"Peter et al. (2022), Cross-validation of distance measurements in proteins by PELDOR/DEER and single-molecule FRET",10.1038/s41467-022-31945-6,MalE 加入麦芽糖后，DEER 中残留的开放态是真正的配体未饱和，还是与冷冻保护剂条件有关；去除保护剂后能否复现闭合态占优？,增加麦芽糖未消除混合态；改变/去除冷冻保护剂后闭合态更明显。,"Results, Comparison 2: MalE; Figure 5c; Supplementary Figures 9–10",同一生物问题含配体剂量和环境对照，适合验证规则能否挑出解释冲突所需的额外计算。,PROTEIN_OR_PROTEIN_LIPID_SCIENTIFIC_QUESTION,36/352、29/352 的不同麦芽糖剂量和保护剂下 DEER 时间迹；smFRET 及 134/186 阴性对照；结构 1OMP/1ANF。,LANDING_AND_FILE_INVENTORY_VERIFIED_SOURCE_PAYLOAD_UNCHECKED,https://zenodo.org/record/6683587 | https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41467-022-31945-6/MediaObjects/41467_2022_31945_MOESM4_ESM.xlsx,在共同可解析时间/距离范围内重拟合 DEER 分布，估计开闭混合权重及不确定性；比较剂量改变与保护剂改变的权重效应，并与 smFRET 和阴性对照对照。,比较同位点的条件效应及方向，不把不同时间迹长度造成的峰分辨率变化当真实人口改变。,测量温度、保护剂、SNR 和时间窗能否进入可比性与模型选择，而非只作为存档字段。,DEER混合分布与共同时间窗敏感性,NO_REGISTERED_MATCH_FOR_QUESTION,当前注册表没有覆盖本题完整计算的可路由Operator；所列计算为拟接能力，尚未实现或在本题验证。,后续候选,按逐题数据缺口、计算规模和科学信息量排入后续；不预先算作可运行。,NOT_RUN,10.1038/s41467-022-31945-6
Q17,ChRmine 噪声权重与局部结构质量,"Hoff et al. (2024), Accurate model and ensemble refinement using cryo-electron microscopy maps and Bayesian inference",10.1371/journal.pcbi.1012180,ChRmine 的高噪声密度区，降低数据约束权重后能否得到更合理的局部结构，即使这些区域的 map 拟合变差？,噪声较大区域更多依靠物理约束；相较沉积结构，碰撞减少、氢键和盐桥几何改善。,"Figure 2a–c; Results, Bayesian noise models reduce data overfitting; PDB 7w9w, EMD-32377",检验是否会错误地把更高 map correlation 当唯一成功判据；要求对具体通道结构联合评估数据和物理可行性。,PROTEIN_OR_PROTEIN_LIPID_SCIENTIFIC_QUESTION,7w9w 原始与 EMMIVox 精修结构、EMD-32377 map/half-maps、残基邻域定义、原方法噪声和几何评价参数。,REPOSITORY_AND_SYSTEM_INVENTORY_VERIFIED_PAYLOAD_UNCHECKED,https://www.plumed-nest.org/eggs/23/041/ | https://github.com/COSBlab/EMMIVox-BENCHMARK | https://github.com/COSBlab/EMMIVox,从 half-map 差异估局部噪声；按相同残基和 mask 重算 local CC、碰撞、氢键/盐桥；比较高低噪声区的配对改善。,核对局部噪声—拟合变化关系以及几何改善的方向；不以整体 CC 一项替代结构质量结论。,规则能否触发局部噪声分层、多指标联合判断，以及接受有依据的局部 fit 下降。,局部map噪声、CC与结构几何比较,NO_REGISTERED_MATCH_FOR_QUESTION,当前注册表没有覆盖本题完整计算的可路由Operator；所列计算为拟接能力，尚未实现或在本题验证。,后续候选,按逐题数据缺口、计算规模和科学信息量排入后续；不预先算作可运行。,NOT_RUN,10.1371/journal.pcbi.1012180
Q18,SPP1 单结构与集合的密度解释,"Hoff et al. (2024), Accurate model and ensemble refinement using cryo-electron microscopy maps and Bayesian inference",10.1371/journal.pcbi.1012180,对 SPP1 噬菌体尾管，构象集合是否比单个带 B-factor 的结构更能解释 cryo-EM 密度，而非仅因增加参数得到表面改善？,论文中 SPP1 的集合 CCmask 从单结构约 0.60 增至约 0.77，是该 benchmark 最大改善。,"Figure 4a; Results, Ensemble refinement; PDB 6yeg, EMD-10792",直接比较同一体系的单态/多态解释；要求重算前向平均密度、控制 mask，并审查集合复杂度。,PROTEIN_OR_PROTEIN_LIPID_SCIENTIFIC_QUESTION,SPP1 单结构、精修集合及权重、EMD-10792 map/half-maps、同一 forward model 和 mask；集合是否公开需另验。,SINGLE_MODEL_REPOSITORY_VERIFIED_ENSEMBLE_PAYLOAD_UNCONFIRMED,https://www.plumed-nest.org/eggs/23/041/ | https://github.com/COSBlab/EMMIVox-BENCHMARK | https://github.com/COSBlab/EMMIVox,按集合权重平均预测密度，与单结构在同一 mask 下计算 CC；做减小集合规模、保留验证数据和 B-factor 基线的敏感性比较。,先重现作者同口径 CC 差，再用额外验证判断改善稳定性；额外验证不冒称作者已报告。,是否区分更好拟合与已证实异质性；是否要求集合权重、前向平均和复杂度/验证独立性。,集合预测密度平均与单结构基线比较,NO_REGISTERED_MATCH_FOR_QUESTION,当前注册表没有覆盖本题完整计算的可路由Operator；所列计算为拟接能力，尚未实现或在本题验证。,后续候选,按逐题数据缺口、计算规模和科学信息量排入后续；不预先算作可运行。,NOT_RUN,10.1371/journal.pcbi.1012180
Q19,Fibrillarin 局部多构象的衍射支持,"Wankowicz et al. (2024), Automated multiconformer model building for X-ray crystallography and cryo-EM, Version of Record",10.7554/eLife.90606.3,Fibrillarin 的 RNA 结合区域邻近残基是否支持多种局部构象，能否用衍射数据重新支持 Leu58、Phe69、Met175 的替代构象而非仅读取 qFit 输出标签？,qFit 在 1G8A 的上述残基识别了原模型没有表达的替代构象；与 RNA 结合功能的联系在论文中仍是待检验假说。,"Figure 2b; Results, qFit improves overall fit to data relative to deposited structures; PDB 1G8A",从真实密度证据判断局部异质性，避免把模型中存在 altloc 直接当成实验支持。,PROTEIN_OR_PROTEIN_LIPID_SCIENTIFIC_QUESTION,1G8A 结构与 structure factors/自由反射集、qFit 模型、构图与精修参数；针对三残基的单/多构象候选。,PRIMARY_DATASET_SEARCH_INVENTORY_VERIFIED_PAYLOAD_UNCHECKED,https://zenodo.org/records/10936292 | https://github.com/ExcitedStates/qfit-3.0 | https://www.rcsb.org/structure/1G8A,用相同反射集重算电子密度与局部 fit，比较单/多构象的占有率、χ角、差异密度、Rfree 与几何冲突；必要时对三残基做受限模型选择。,比较被数据支持的替代构象与作者模型的局部 RMSD/rotamer；精修独立验证不变，功能活性不作为本题输出。,局部结构异质性是否有观测支持、增加构象是否过拟合，以及结构证据到功能假说之间的结论边界。,衍射密度重算及单/多构象局部检验,NO_REGISTERED_MATCH_FOR_QUESTION,当前注册表没有覆盖本题完整计算的可路由Operator；所列计算为拟接能力，尚未实现或在本题验证。,后续候选,按逐题数据缺口、计算规模和科学信息量排入后续；不预先算作可运行。,NOT_RUN,10.7554/eLife.90606.3
Q20,Apoferritin 局部多构象的密度支持,"Wankowicz et al. (2024), Automated multiconformer model building for X-ray crystallography and cryo-EM, Version of Record",10.7554/eLife.90606.3,Apoferritin 的 1.22 Å cryo-EM map 能否同时支持 Arg22 的已知两构象，以及 Glu14 在原沉积模型中未表达的额外构象？,qFit 在 7A4M 中恢复 Arg22 两构象，并为 Glu14 提出有密度支持的新增构象。,"Figure 5a,b; Results, qFit models alternative conformers in cryo-EM density maps; PDB 7A4M",同一 map 含已知阳性对照与新增候选，适合检查 operator 能否从密度支撑两类结论并排除仅增加模型复杂度。,PROTEIN_OR_PROTEIN_LIPID_SCIENTIFIC_QUESTION,7A4M 结构、对应 EMDB map/half-maps、原/qFit 模型、map sharpening 与坐标/占有率精修参数；EMDB accession 需数据 intake 核实。,PAPER_AND_QFIT_ARCHIVE_INVENTORY_VERIFIED_MAP_PAYLOAD_UNCHECKED,https://zenodo.org/records/10936292 | https://github.com/ExcitedStates/qfit-3.0 | https://www.rcsb.org/structure/7A4M,对 Arg22/Glu14 生成局部单/双构象候选，按统一 map 计算 Q-score/局部残差、占有率与 clash；对 Arg22 比较原两构象 RMSD，并检查 sharpening/half-map 敏感性。,Arg22 以两构象均被恢复为阳性对照；Glu14 需额外构象确实改善局部密度解释且几何合理。比较容差与作者 RMSD 0.5 Å 分类口径对应。,是否要求统一地图处理、局部分辨率和独立 map 验证，是否区分发现新构象与复制已有坐标。,cryoEM局部候选密度与几何检验,NO_REGISTERED_MATCH_FOR_QUESTION,当前注册表没有覆盖本题完整计算的可路由Operator；所列计算为拟接能力，尚未实现或在本题验证。,后续候选,按逐题数据缺口、计算规模和科学信息量排入后续；不预先算作可运行。,NOT_RUN,10.7554/eLife.90606.3
