"rule_id","paper_id","source_locator","primary_layer","canonical_family","proposed_tier","current_binding_ids","disposition","reason","proposed_action"
"C007-RULE-001","bengtsen_2020_multimodal_nanodisc","BEN-S02; BEN-S03; BEN-S04","M1/M4","RF03/RF10","CORE","","MERGE","Repeats source-native semantics in a multimodal setting","Use it as evidence for generic RF03/RF10 rather than a separate top-level rule"
"C007-RULE-002","bengtsen_2020_multimodal_nanodisc","BEN-S03; BEN-S05","M5","RF12","OPERATOR_PROFILE","","DEFER","BME/MaxEnt parameters and source weights describe an executable integration operator, not Stage-1 applicability alone","Move execution requirements into a registered operator profile; retain a selector obligation that such a profile is required"
"C007-RULE-003","bengtsen_2020_multimodal_nanodisc","BEN-S03; BEN-S05","M4","RF11","CORE","source-evidence-role-boundary; edge-evidence-role-separation","REVISE","One registry rule currently powers a source role-presence check and an edge independence/shared-error check even though these are different questions","Split into source role declaration and edge independence/condition/shared-error contracts"
"C008-RULE-001","hoff_2024_emmivox_cryoem","HOF-S02; HOF-S03; HOF-S04","M2/M3","RF05/RF09","METHOD_PROFILE","source-cryo-em-map-admission","KEEP","Distinct density/voxel-map admission rule; the repaired exact-modality predicate matches its source scope","Keep the current density/voxel-map restriction"
"C008-RULE-002","hoff_2024_emmivox_cryoem","HOF-S03; HOF-S05","M2","RF06","METHOD_PROFILE","source-cryo-em-noise-heterogeneity-separation","KEEP","Distinct cryo-EM noise-versus-heterogeneity check","Keep as cryo-EM profile; particle-image use still requires appropriate image-formation guidance"
"C008-RULE-003","hoff_2024_emmivox_cryoem","HOF-S03; HOF-S04; HOF-S05","M3/M6","RF09/RF14","METHOD_PROFILE","source-cryo-em-map-consistent-ensemble-ceiling","KEEP","Distinct density-forward-model and local-versus-global claim ceiling","Keep as cryo-EM model-prediction profile"
"C009-RULE-001","peter_2022_deer_smfret_crossvalidation","PET-S01; PET-S02; PET-S05","M4","RF10","METHOD_PROFILE","edge-deer-smfret-cross-validation","KEEP","Distinct DEER-smFRET condition/probe/physical-state comparison","Keep the pair-specific binding and method profile"
"C009-RULE-002","peter_2022_deer_smfret_crossvalidation","PET-S03; PET-S04","M2","RF06","METHOD_PROFILE","source-deer-smfret-diagnostic-controls","KEEP","Distinct method-pair diagnostic controls","Keep; only apply to declared diagnostic/calibration sources"
"C009-RULE-003","peter_2022_deer_smfret_crossvalidation","PET-S03; PET-S05","M1/M4","RF03/RF10","METHOD_PROFILE","edge-deer-smfret-estimand-boundary","MERGE","The exact frozen-versus-liquid distinction belongs in the DEER-smFRET profile, while the general logic duplicates RF03/RF10","Keep the profile text but merge top-level selection with the generic comparability family"
"C010-RULE-001","sanabria_2020_transient_states","SAN-S02; SAN-S03; SAN-S04","M0/M6","RF01/RF14","CORE","","KEEP","Provides a distinct claim ladder from state evidence to timescale and function","Keep as a core claim-level check with method examples"
"C010-RULE-002","sanabria_2020_transient_states","SAN-S03; SAN-S04","M1/M6","RF04/RF13","METHOD_PROFILE","","MERGE","State-model, pair-coverage and time-window semantics support generic temporal/identifiability families","Retain as transient-state smFRET guidance under RF04/RF13"
"C010-RULE-003","sanabria_2020_transient_states","SAN-S04; SAN-S05","M6","RF14","METHOD_PROFILE","","KEEP","Distinct functional-association ceiling and orthogonal validation requirement","Keep as a higher-rung claim profile"
"C011-RULE-001","steffen_2021_fretraj","STF-S01; STF-S02","M3/M5","RF09/RF12","OPERATOR_PROFILE","","DEFER","ACV implementation inputs and photon-statistics details belong to a registered executable profile","Keep provenance but move execution requirements out of the top-level Stage-1 rule list"
"C011-RULE-002","steffen_2021_fretraj","STF-S02; STF-S03","M2/M3","RF05/RF06","METHOD_PROFILE","","KEEP","Distinct decomposition of conformational width and photon shot noise","Keep as the FRETraj/trajectory-to-FRET diagnostic profile"
"C011-RULE-003","steffen_2021_fretraj","STF-S01; STF-S03","M6","RF14","METHOD_PROFILE","","MERGE","Software-demonstration claim ceiling is an instance of the generic claim-ceiling family","Retain as a software-transfer example under RF14"
"C012-RULE-001","wankowicz_bonomi_2026_ensemble_prediction","WAN-S02; WAN-S03; WAN-S04","M0/M1","RF01/RF03","CORE","source-native-benchmark-contract","REVISE","One broad perspective rule currently acts as both case-level benchmark logic and a source measurement contract; its binding does not check every scientific element named by the rule","Split RF01 case contract from RF03 source representation and give each exact required fields"
"C012-RULE-002","wankowicz_bonomi_2026_ensemble_prediction","WAN-S04; WAN-S05","M6","RF13","CORE","case-identifiability-and-next-action","KEEP","Clear generic identifiability and next-discriminating-action rule","Keep as a case-level core rule"
"C012-RULE-003","wankowicz_bonomi_2026_ensemble_prediction","WAN-S03; WAN-S05","M4/M6","RF11/RF14","CORE","case-validation-role-presence; case-claim-ceiling","REVISE","The same registry row generates two different case obligations: validation-plan presence and final claim ceiling","Split into RF11 validation-plan declaration and RF14 claim-ceiling/next-action contracts"
