rule_id,paper_id,paper_title,source_locator,rule_class,source_classification,gate_path_semantics,gate_primary,gate_path,paper_finding,proposed_project_rule,required_fields,integration_operator,requires_numeric_threshold,acceptance_rule_status,model_or_support_validation_required,validation_route,abstain_route,transfer_scope,project_status
C005-RULE-002,fuertes_2017_saxs_smfret_non_equivalence,Fuertes 2017 SAXS-smFRET non-equivalence,FUE-S03; FUE-S04; FUE-S05,complementary_evidence,paper_states_plus_bounded_project_use,focus_dependencies_not_execution_order,G4,G1>G3>G4>G5,A reproducible SAXS–smFRET discrepancy can be scientifically informative and may require a joint latent-ensemble analysis rather than error averaging or selection of one preferred modality.,在 G1>G3>G4>G5 的重点检查中要求 source-native observables plus an explicit joint-ensemble or qualitative relation；若无法验证则走 BRIDGE_UNAVAILABLE。,source-native observables plus an explicit joint-ensemble or qualitative relation,qualitative_triangulation_or_joint_ensemble,no,not_applicable,no,matched-condition simulations/independent evidence,BRIDGE_UNAVAILABLE,"preserve disagreement as evidence, not as a scalar score",supported_for_rule_candidate
C005-RULE-003,fuertes_2017_saxs_smfret_non_equivalence,Fuertes 2017 SAXS-smFRET non-equivalence,FUE-S02; FUE-S03; FUE-S04,inverse_model,paper_states_plus_bounded_project_use,focus_dependencies_not_execution_order,G3,G1>G3>G4,Generic polymer distributions used to invert mean FRET values require system- and condition-specific scrutiny; non-uniform heteropolymer expansion can decouple terminal and global dimensions.,在 G1>G3>G4 的重点检查中要求 distance-distribution assumption and model-check result；若无法验证则走 INVERSE_MODEL_UNSUPPORTED。,distance-distribution assumption and model-check result,distribution_forward_or_inverse_model,method_specific_or_calibration,calibration_required,yes,alternative polymer/model checks,INVERSE_MODEL_UNSUPPORTED,native IDP/heteropolymer setting; do not transfer to MalE without testing,supported_for_rule_candidate
C006-RULE-001,shevchuk_2017_bayesian_saxs_refinement,Shevchuk 2017 Bayesian SAXS refinement,SH-S02; SH-S04,forward_bridge,paper_states_plus_bounded_project_use,focus_dependencies_not_execution_order,G3,G1>G2>G3>G4,"SAXS ensemble refinement needs an explicit intensity forward model, physical prior, nuisance/systematic-error model and posterior uncertainty because the curve is low-information.","在 G1>G2>G3>G4 的重点检查中要求 SAXS likelihood, physical prior, nuisance error and state-weight parameterization；若无法验证则走 POSTERIOR_AMBIGUITY。","SAXS likelihood, physical prior, nuisance error and state-weight parameterization",Bayesian_forward_model,method_specific_or_calibration,calibration_required,yes,posterior predictive and state-number checks,POSTERIOR_AMBIGUITY,state-number and prior choices remain explicit,supported_for_rule_candidate
C006-RULE-002,shevchuk_2017_bayesian_saxs_refinement,Shevchuk 2017 Bayesian SAXS refinement,SH-S03; SH-S05,uncertainty_integration,paper_states_plus_bounded_project_use,focus_dependencies_not_execution_order,G4,G2>G3>G4,"Posterior weight-boundary behavior can test whether a small-state representation is plausible, but the inferred structural weights remain condition- and prior-dependent.","在 G2>G3>G4 的重点检查中要求 posterior, prior sensitivity, nuisance error and entropy/regularization choice；若无法验证则走 PRIOR_DOMINANCE_OR_MISSING_STATE。","posterior, prior sensitivity, nuisance error and entropy/regularization choice",Bayesian_or_MaxEnt_reweighting,method_specific_or_calibration,calibration_required,yes,prior sensitivity and held-out observable,PRIOR_DOMINANCE_OR_MISSING_STATE,"weights are model-conditional, not automatically thermodynamic populations",supported_for_rule_candidate
C006-RULE-003,shevchuk_2017_bayesian_saxs_refinement,Shevchuk 2017 Bayesian SAXS refinement,SH-S02; SH-S05,claim_ceiling,paper_states_plus_bounded_project_use,focus_dependencies_not_execution_order,G5,G1>G3>G4>G5,"If candidate support omits a state, Bayesian SAXS refinement can express uncertainty within the wrong support but cannot create the missing state.","在 G1>G3>G4>G5 的重点检查中要求 candidate-support coverage, state-number adequacy and missing-state audit；若无法验证则走 MISSING_STATE_SUPPORT。","candidate-support coverage, state-number adequacy and missing-state audit",bounded_hypothesis_set,no,not_applicable,yes,missing-state stress test,MISSING_STATE_SUPPORT,a posterior cannot create a state absent from support,supported_for_rule_candidate
C007-RULE-001,bengtsen_2020_multimodal_nanodisc,Bengtsen 2020 multimodal nanodisc,BEN-S02; BEN-S03; BEN-S04,multi_source_semantics,paper_states_plus_bounded_project_use,focus_dependencies_not_execution_order,G1,G0>G1>G3,"NMR/NOE, SAXS/SANS and MD in the nanodisc study constrain different spatial scales and observables; their values should not be merged into one common numeric metric.","在 G0>G1>G3 的重点检查中要求 per-source observable, spatial/contrast support, averaging law and condition；若无法验证则走 SOURCE_SEMANTICS_MERGED。","per-source observable, spatial/contrast support, averaging law and condition",source_specific_likelihoods,no,not_applicable,no,source-specific forward calculations,SOURCE_SEMANTICS_MERGED,NMR/SAXS/SANS/MD example; no common distance column,supported_for_rule_candidate
C007-RULE-002,bengtsen_2020_multimodal_nanodisc,Bengtsen 2020 multimodal nanodisc,BEN-S03; BEN-S05,integration_operator,paper_states_plus_bounded_project_use,focus_dependencies_not_execution_order,G4,G1>G3>G4,BME/maximum-entropy reweighting combines source-specific likelihoods while limiting perturbation from an MD prior; it is not a state-discovery or kinetics estimator by itself.,"在 G1>G3>G4 的重点检查中要求 BME/MaxEnt operator, MD prior, perturbation/entropy and source weights；若无法验证则走 INTEGRATION_OPERATOR_UNVERIFIED。","BME/MaxEnt operator, MD prior, perturbation/entropy and source weights",shared_weights_source_specific_forward_models,method_specific_or_calibration,calibration_required,yes,held-out PRE/EPR or orthogonal data,INTEGRATION_OPERATOR_UNVERIFIED,joint fit is not state discovery or kinetics,supported_for_rule_candidate
C007-RULE-003,bengtsen_2020_multimodal_nanodisc,Bengtsen 2020 multimodal nanodisc,BEN-S03; BEN-S05,integration_validation,reasonable_inference_from_paper,focus_dependencies_not_execution_order,G4,G2>G3>G4>G5,"Combined data are informative only when source independence, condition matching, forward calculations and held-out validation are explicit; shared errors can make a joint fit overconfident.","在 G2>G3>G4>G5 的重点检查中要求 source independence, condition match, forward calculations, shared-error audit；若无法验证则走 SHARED_ERROR_OR_CONDITION_MISMATCH。","source independence, condition match, forward calculations, shared-error audit",joint_likelihood_with_heldout_validation,method_specific_or_calibration,calibration_required,yes,held-out source and shared-error controls,SHARED_ERROR_OR_CONDITION_MISMATCH,multi-source agreement is not automatically stronger evidence,supported_for_rule_candidate
C008-RULE-001,hoff_2024_emmivox_cryoem,Hoff 2024 EMMIVox cryo-EM,HOF-S02; HOF-S03; HOF-S04,source_quality,paper_states_plus_bounded_project_use,focus_dependencies_not_execution_order,G2,G0>G1>G2,"cryo-EM voxel evidence requires correlation-aware sampling, half-map/noise provenance and a voxel-to-density forward model before model fit is interpreted.","在 G0>G1>G2 的重点检查中要求 map/half-map provenance, resolution, voxel correlation and preprocessing；若无法验证则走 MAP_PROVENANCE_OR_NOISE_UNKNOWN。","map/half-map provenance, resolution, voxel correlation and preprocessing",correlation_aware_map_evidence,method_specific_or_calibration,paper_specific_method_dependent,yes,half-map/noise audit,MAP_PROVENANCE_OR_NOISE_UNKNOWN,cryo-EM-specific source adapter,supported_for_rule_candidate
C008-RULE-002,hoff_2024_emmivox_cryoem,Hoff 2024 EMMIVox cryo-EM,HOF-S03; HOF-S05,artifact_exclusion,paper_states_plus_bounded_project_use,focus_dependencies_not_execution_order,G2,G1>G2>G5,Fuzzy cryo-EM density must be separated into conformational heterogeneity versus experimental noise/B-factor effects using negative controls and local uncertainty diagnostics.,"在 G1>G2>G5 的重点检查中要求 map noise, B-factor, alignment/radiation-damage alternatives and heterogeneity；若无法验证则走 NOISE_DYNAMICS_CONFUSION。","map noise, B-factor, alignment/radiation-damage alternatives and heterogeneity",noise_heterogeneity_separation,method_specific_or_calibration,calibration_required,yes,noise/heterogeneity controls,NOISE_DYNAMICS_CONFUSION,fuzzy density alone is not dynamics,supported_for_rule_candidate
C008-RULE-003,hoff_2024_emmivox_cryoem,Hoff 2024 EMMIVox cryo-EM,HOF-S03; HOF-S04; HOF-S05,forward_bridge,paper_states_plus_bounded_project_use,focus_dependencies_not_execution_order,G3,G2>G3>G4,A cryo-EM metainference ensemble is map- and prior-consistent under the stated conditions; it may represent local dynamics around a macrostate rather than the full room-temperature landscape.,"在 G2>G3>G4 的重点检查中要求 density forward model, metainference ensemble and sampling/preprocessing provenance；若无法验证则走 FORWARD_OR_SAMPLING_UNRESOLVED。","density forward model, metainference ensemble and sampling/preprocessing provenance",ensemble_metainference,method_specific_or_calibration,calibration_required,yes,posterior/map predictive checks,FORWARD_OR_SAMPLING_UNRESOLVED,"local ensemble evidence, not full landscape proof",supported_for_rule_candidate
C009-RULE-001,peter_2022_deer_smfret_crossvalidation,Peter 2022 DEER-smFRET cross-validation,PET-S01; PET-S02; PET-S05,cross_validation,paper_states_plus_bounded_project_use,focus_dependencies_not_execution_order,G4,G1>G2>G4>G5,"DEER and smFRET inter-probe measurements must retain probe chemistry, physical sample state, averaging law and condition because nominal distance is not the same observable.","在 G1>G2>G4>G5 的重点检查中要求 same label sites, physical state, probe chemistry, averaging and negative controls；若无法验证则走 CROSS_MODAL_CONDITION_MISMATCH。","same label sites, physical state, probe chemistry, averaging and negative controls",direct_cross_validation_matrix,method_specific_or_calibration,paper_specific_method_dependent,no,same-site negative control and orthogonal diagnostics,CROSS_MODAL_CONDITION_MISMATCH,tested protocols/datasets only,supported_for_rule_candidate
C009-RULE-002,peter_2022_deer_smfret_crossvalidation,Peter 2022 DEER-smFRET cross-validation,PET-S03; PET-S04,diagnostic_controls,paper_states_plus_bounded_project_use,focus_dependencies_not_execution_order,G2,G1>G2>G5,"Probe–protein interactions and cryoprotectants can explain method discrepancies; anisotropy, lifetime, BVA and no-cryoprotectant controls are part of the interpretation evidence.","在 G1>G2>G5 的重点检查中要求 cryoprotectant, dye swap, anisotropy/lifetime/BVA and condition controls；若无法验证则走 PROBE_OR_CONDITION_CAUSE_UNRESOLVED。","cryoprotectant, dye swap, anisotropy/lifetime/BVA and condition controls",qualitative_diagnostic_matrix,no,not_applicable,no,probe and condition perturbations,PROBE_OR_CONDITION_CAUSE_UNRESOLVED,"a discrepancy can be probe, condition or biology",supported_for_rule_candidate
C009-RULE-003,peter_2022_deer_smfret_crossvalidation,Peter 2022 DEER-smFRET cross-validation,PET-S03; PET-S05,estimand_non_equivalence,paper_states_plus_bounded_project_use,focus_dependencies_not_execution_order,G1,G1>G2>G5,"Overall agreement across the tested datasets supports complementary use of DEER and smFRET under stated protocols, not cross-system generalization or population equivalence.",在 G1>G2>G5 的重点检查中要求 DEER frozen distribution versus liquid-phase FRET average and condition；若无法验证则走 ESTIMAND_OR_STATE_MISMATCH。,DEER frozen distribution versus liquid-phase FRET average and condition,conditional_cross_validation,no,not_applicable,no,explicit physical-state comparison,ESTIMAND_OR_STATE_MISMATCH,agreement applies only under tested protocols,supported_for_rule_candidate
C010-RULE-001,sanabria_2020_transient_states,Sanabria 2020 transient-state evidence ladder,SAN-S02; SAN-S03; SAN-S04,claim_ladder,paper_states_plus_bounded_project_use,focus_dependencies_not_execution_order,G5,G1>G4>G5,"A transient-state claim is strongest when multiple label pairs, timescales, global models and orthogonal probes jointly support the same latent state.","在 G1>G4>G5 的重点检查中要求 claim level, pair coverage, time scale, orthogonal evidence and function link；若无法验证则走 CLAIM_LEVEL_UNSUPPORTED。","claim level, pair coverage, time scale, orthogonal evidence and function link",claim_conditioned_evidence_ladder,no,not_applicable,yes,orthogonal evidence at each claim level,CLAIM_LEVEL_UNSUPPORTED,"state existence, population, timescale and function remain separate",supported_for_rule_candidate
C010-RULE-002,sanabria_2020_transient_states,Sanabria 2020 transient-state evidence ladder,SAN-S03; SAN-S04,state_semantics,paper_states_plus_bounded_project_use,focus_dependencies_not_execution_order,G1,G1>G2>G5,Global shared-fraction analysis and explicit linker/orientation uncertainty improve identifiability but remain model- and condition-dependent spectroscopic inference.,"在 G1>G2>G5 的重点检查中要求 state model, pair coverage, time window and global/shared fractions；若无法验证则走 STATE_MODEL_UNIDENTIFIABLE。","state model, pair coverage, time window and global/shared fractions",state_model_comparison,method_specific_or_calibration,calibration_required,yes,multi-pair and model adequacy checks,STATE_MODEL_UNIDENTIFIABLE,transient-state claim stays at the supported rung,supported_for_rule_candidate
C010-RULE-003,sanabria_2020_transient_states,Sanabria 2020 transient-state evidence ladder,SAN-S04; SAN-S05,functional_validation,paper_states_plus_bounded_project_use,focus_dependencies_not_execution_order,G4,G4>G5,"FRET-to-structure screening can validate known-state compatibility and expose an unknown-state residual, but it does not determine the unknown state's coordinates without additional evidence.","在 G4>G5 的重点检查中要求 perturbation, independent function assay, alternative mechanism and mapping uncertainty；若无法验证则走 FUNCTIONAL_LINK_UNSUPPORTED。","perturbation, independent function assay, alternative mechanism and mapping uncertainty",orthogonal_functional_validation,no,not_applicable,yes,mutant/functional assay plus structural evidence,FUNCTIONAL_LINK_UNSUPPORTED,FRET screening alone does not establish mechanism,supported_for_rule_candidate
C011-RULE-001,steffen_2021_fretraj,Steffen 2021 FRETraj,STF-S01; STF-S02,forward_implementation,paper_states_plus_bounded_project_use,focus_dependencies_not_execution_order,G3,G1>G3>G4,"ACV-based trajectory-to-FRET prediction is a probe forward model that must retain dye/linker, trajectory and photon-statistics metadata.","在 G1>G3>G4 的重点检查中要求 ACV, dye/linker, trajectory frames, time cut-off and photon statistics；若无法验证则走 FORWARD_IMPLEMENTATION_INCOMPLETE。","ACV, dye/linker, trajectory frames, time cut-off and photon statistics",trajectory_to_measurement_forward_model,method_specific_or_calibration,calibration_required,yes,measurement-space agreement and provenance,FORWARD_IMPLEMENTATION_INCOMPLETE,DNA demo does not validate protein dynamics,supported_for_rule_candidate
C011-RULE-002,steffen_2021_fretraj,Steffen 2021 FRETraj,STF-S02; STF-S03,uncertainty_decomposition,paper_states_plus_bounded_project_use,focus_dependencies_not_execution_order,G2,G1>G2>G3>G5,Predicted FRET-distribution width combines conformational sampling and shot noise; these components must be separated before inferring protein dynamics.,"在 G1>G2>G3>G5 的重点检查中要求 conformational-sampling component, photon shot-noise model, timescale/window, package/version, input trajectory and implementation receipt；若无法验证则走 NOISE_CONFORMATION_OR_IMPLEMENTATION_UNRESOLVED。","conformational-sampling component, photon shot-noise model, timescale/window, package/version, input trajectory and implementation receipt",noise_and_conformation_decomposition,method_specific_or_calibration,paper_specific_method_dependent,yes,shot-noise sensitivity plus re-run/provenance check,NOISE_CONFORMATION_OR_IMPLEMENTATION_UNRESOLVED,predicted width is not protein dynamics without the decomposition,supported_for_rule_candidate
C011-RULE-003,steffen_2021_fretraj,Steffen 2021 FRETraj,STF-S01; STF-S03,claim_ceiling,paper_states_plus_bounded_project_use,focus_dependencies_not_execution_order,G5,G3>G4>G5,"A software demonstration on a DNA hairpin establishes a reproducible implementation path, not protein-specific biological accuracy or cross-system generalization.",在 G3>G4>G5 的重点检查中要求 measurement-space residual and alternative explanations for agreement；若无法验证则走 AGREEMENT_OVERINTERPRETED。,measurement-space residual and alternative explanations for agreement,measurement_space_consistency,no,not_applicable,no,independent dynamics evidence,AGREEMENT_OVERINTERPRETED,agreement does not prove dynamics or population,supported_for_rule_candidate
C012-RULE-001,wankowicz_bonomi_2026_ensemble_prediction,Wankowicz and Bonomi 2026 ensemble infrastructure,WAN-S02; WAN-S03; WAN-S04,benchmark_contract,paper_states_plus_bounded_project_use,focus_dependencies_not_execution_order,G1,G0>G1>G2>G3>G4>G5,"The basic comparison unit for ensemble work is condition plus claim plus modality-specific observable/forward model/uncertainty, not a universal structural metric.","在 G0>G1>G2>G3>G4>G5 的重点检查中要求 condition, claim, modality-specific observable, forward model, uncertainty and intended use；若无法验证则走 BENCHMARK_SCOPE_UNDEFINED。","condition, claim, modality-specific observable, forward model, uncertainty and intended use",claim_conditioned_benchmark,no,not_applicable,no,source-linked benchmark contract,BENCHMARK_SCOPE_UNDEFINED,"infrastructure perspective, not a completed benchmark",supported_for_rule_candidate
C012-RULE-002,wankowicz_bonomi_2026_ensemble_prediction,Wankowicz and Bonomi 2026 ensemble infrastructure,WAN-S04; WAN-S05,identifiability,paper_states_plus_bounded_project_use,focus_dependencies_not_execution_order,G4,G1>G2>G3>G4>G5,"Multimodal fit cannot by itself identify a unique ensemble because shared errors, prior dominance, missing states and non-identifiability can remain.","在 G1>G2>G3>G4>G5 的重点检查中要求 forward likelihood, posterior hypotheses, shared-error audit, prior sensitivity, missing-state support and next discriminating action；若无法验证则走 NON_IDENTIFIABILITY_OR_MISSING_SUPPORT。","forward likelihood, posterior hypotheses, shared-error audit, prior sensitivity, missing-state support and next discriminating action",hypothesis_set_with_discriminating_action,no_or_not_decisive,model_support_validation_required,yes,held-out/orthogonal evidence or next experiment,NON_IDENTIFIABILITY_OR_MISSING_SUPPORT,do not label a compatible ensemble as the truth,supported_for_rule_candidate
C012-RULE-003,wankowicz_bonomi_2026_ensemble_prediction,Wankowicz and Bonomi 2026 ensemble infrastructure,WAN-S03; WAN-S05,claim_ceiling,reasonable_inference_from_paper,focus_dependencies_not_execution_order,G5,G0>G1>G4>G5,"Benchmark outputs should include evidence lineage, allowed/forbidden claims, uncertainty, held-out validation and the next discriminating action rather than only a submitted ensemble.","在 G0>G1>G4>G5 的重点检查中要求 ground truth, representation, comparison, uncertainty and intended-use status；若无法验证则走 GROUND_TRUTH_OR_VALIDATION_MISSING。","ground truth, representation, comparison, uncertainty and intended-use status",abstain_or_next_action,no,not_applicable,no,explicit validation level,GROUND_TRUTH_OR_VALIDATION_MISSING,perspective cannot eliminate inverse-problem and prior limits,supported_for_rule_candidate
